The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Previously, we demonstrated that phosphorylation of NF - kappaB p50 Ser ( 337) is critical for DNA binding.	"p50	64	67	Gene_or_gene_product"	"[{""token"": ""p50"", ""start_span"": 64, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}]"
This was demonstrated first by showing that treatment of cells with PKAc - specific inhibitors blocked p50 / p50 DNA binding.	"PKAc	68	72	Gene_or_gene_product"	"[{""token"": ""PKAc"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}]"
In contrast to the dramatic elevation of nuclear p50 / p65 heterodimers induced by tumor necrosis factor alpha, DNA binding of p50 / p50 homodimers was not greatly altered.	"tumor necrosis factor alpha	83	110	Gene_or_gene_product"	"[{""token"": ""tumor necrosis factor alpha"", ""start_span"": 83, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}]"
This mechanism of DNA binding by p50 / p50 following phosphorylation of Ser ( 337) by PKAc may represent an important means for maintaining stable negative regulation of NF - kappaB gene expression in the absence of extracellular stimulation.	"PKAc	86	90	Gene_or_gene_product"	"[{""token"": ""PKAc"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
The displacement of Mad2p in M - phase cells was correlated with activation of the spindle checkpoint.	"Mad2p	20	25	Gene_or_gene_product"	"[{""token"": ""Mad2p"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
Different cyclins promote distinct cell - cycle events, but the molecular basis for these differences remains unclear.	"cyclins	10	17	Gene_or_gene_product"	"[{""token"": ""cyclins"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
We discuss this regulation with respect to other known E2F targets.	"E2F	55	58	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 55, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling is positively regulated by hormones or growth factors and amino acids.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling regulates the phosphorylation of several proteins, the best characterized being ones that control mRNA translation.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Here we show that amino acids regulate the N - terminal phosphorylation sites in 4E - BP1 through the RAIP motif in a rapamycin - insensitive manner.	"4E - BP1	81	89	Gene_or_gene_product"	"[{""token"": ""4E - BP1"", ""start_span"": 81, ""end_span"": 89, ""type"": ""Gene_or_gene_product""}]"
Several criteria indicate this reflects a rapamycin - insensitive output from mTOR.	"mTOR	78	82	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}]"
Pocket proteins and cell cycle control.	"Pocket proteins	0	15	Gene_or_gene_product"	"[{""token"": ""Pocket proteins"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
These proteins are best known for their roles in restraining the G1 - S transition through the regulation of E2F - responsive genes.	"E2F	109	112	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 109, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
New insights into pocket protein regulation have also been obtained.	"pocket protein	18	32	Gene_or_gene_product"	"[{""token"": ""pocket protein"", ""start_span"": 18, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Kinases previously thought to be crucial to pocket protein phosphorylation have been shown to be redundant, and new modes of phosphorylation and dephosphorylation have been identified.	"pocket protein	44	58	Gene_or_gene_product"	"[{""token"": ""pocket protein"", ""start_span"": 44, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
Despite these advances, much remains to be learned about the pocket proteins, particularly with regard to their developmental and tumor suppressor functions.	"pocket proteins	61	76	Gene_or_gene_product"	"[{""token"": ""pocket proteins"", ""start_span"": 61, ""end_span"": 76, ""type"": ""Gene_or_gene_product""}]"
Thus continues the story of the pocket proteins and the cell cycle.	"pocket proteins	32	47	Gene_or_gene_product"	"[{""token"": ""pocket proteins"", ""start_span"": 32, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
LRP5 mutations in osteoporosis - pseudoglioma syndrome and high - bone - mass disorders.	"LRP5	0	4	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
In humans, loss of LRP5 function causes osteoporosis - pseudoglioma syndrome, which is characterized by congenital blindness and extremely severe childhood - onset osteoporosis ( lumbar spine Z - score often < - 4) with fractures.	"LRP5	19	23	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Furthermore, LRP5 may contribute to mediate mechanical loads within bone tissue.	"LRP5	13	17	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
Selection of novel mediators of E2F1 - induced apoptosis through retroviral expression of an antisense cDNA library.	"E2F1	32	36	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
The approach was based on random inactivation of genes after retroviral transfer of an antisense cDNA library enriched of E2F1 - induced genes, followed by the selection of Saos - 2ERE2F1 cells that survive in the presence of the apoptotic stimulus.	"E2F1	122	126	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"
We identified 13 novel E2F1 target genes encoding proteins of known cellular function, including apoptosis and RNA binding.	"E2F1	23	27	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
Moreover, inactivation of the target genes resulted in a clear increase of cell viability ( > 80%) in response to E2F1 activation compared with controls ( approximately 30%).	"E2F1	114	118	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}]"
Four genes showed an increase in expression intensity in the presence of cycloheximide, suggesting a direct effect of E2F1 on gene transcription, whereas one gene was identified as an indirect target.	"E2F1	118	122	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 118, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}]"
Our data provide new insight in the regulation of E2F1 - induced apoptosis.	"E2F1	50	54	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"
Aberrant beta - catenin signaling in tuberous sclerosis.	"beta - catenin	9	23	Gene_or_gene_product"	"[{""token"": ""beta - catenin"", ""start_span"": 9, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
GSK3 activity played a role in regulating the assembly / stability of the degradation complex.	"GSK3	0	4	Gene_or_gene_product"	"[{""token"": ""GSK3"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
The small GTPase RhoA regulates a wide spectrum of cellular functions including transformation and cytoskeletal reorganization.	"RhoA	17	21	Gene_or_gene_product"	"[{""token"": ""RhoA"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
A large number of proteins have been identified as targets of RhoA, but their specific roles in these processes are not clear.	"RhoA	62	66	Gene_or_gene_product"	"[{""token"": ""RhoA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
Finally, camptothecin - induced neuronal cell death occurred concurrent with phosphorylation of histone H2B.	"histone H2B	96	107	Gene_or_gene_product"	"[{""token"": ""histone H2B"", ""start_span"": 96, ""end_span"": 107, ""type"": ""Gene_or_gene_product""}]"
E2F - HDAC complexes negatively regulate the tumor suppressor gene ARHI in breast cancer.	"ARHI	67	71	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
ARHI is a maternally imprinted tumor suppressor gene whose expression is markedly downregulated in breast cancer.	"ARHI	0	4	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
An ARHI promoter segment that spanned bases - 420 to + 58 ( designated the P2 region) exhibits significantly higher promoter activity in normal cells than in cancer cells.	"ARHI	3	7	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
To better understand the molecular mechanisms contributing to this differential transcriptional activity, we sought to identify transcription factors that bind to the P2 region of the ARHI promoter and regulate its activity.	"ARHI	184	188	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Gene_or_gene_product""}]"
Sequence analysis and oligonucleotide competition in electrophoretic mobility shift assays identified an A2 fragment containing an E2F - binding site.	"E2F	131	134	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"
Msn2 activation by sudden glucose depletion correlates with a fast but transient decrease in phosphorylation of several sites in its nuclear localization signal ( NLS).	"Msn2	0	4	Gene_or_gene_product"	"[{""token"": ""Msn2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Consequently, in snf1 mutants, rephosphorylation of the NLS happens to be much slower during prolonged starvation.	"snf1	17	21	Gene_or_gene_product"	"[{""token"": ""snf1"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Different activities of PP1 are therefore involved in shaping induction and adaptation of the transcriptional stress response during acute glucose starvation.	"PP1	24	27	Gene_or_gene_product"	"[{""token"": ""PP1"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
In response to nutrients, energy sufficiency, hormones, and mitogenic agents, S6K1 phosphorylates several targets linked to translation.	"S6K1	78	82	Gene_or_gene_product"	"[{""token"": ""S6K1"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}]"
However, the molecular mechanisms whereby S6K1 is activated, encounters substrate, and contributes to translation initiation are poorly understood.	"S6K1	42	46	Gene_or_gene_product"	"[{""token"": ""S6K1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Blockade of NFAT activation by the second calcineurin binding site.	"NFAT	12	16	Gene_or_gene_product"	"[{""token"": ""NFAT"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"
Activation of NFAT transcription factors requires their dephosphorylation by the phosphatase calcineurin ( CN).	"NFAT	14	18	Gene_or_gene_product"	"[{""token"": ""NFAT"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
NFATs contain two CN binding motifs: PxIxIT and CnBP - B / CNBR2 ( which we call LxVP).	"NFATs	0	5	Gene_or_gene_product"	"[{""token"": ""NFATs"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Here we carry out a detailed comparative analysis of the CN binding activity displayed by the PxIxIT and LxVP sites from different NFATs.	"NFATs	131	136	Gene_or_gene_product"	"[{""token"": ""NFATs"", ""start_span"": 131, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}]"
These results suggest a model in which the different CN binding characteristics of the PxIxIT and LxVP sites enable different NFAT members to influence each others activities in cells where they are co - expressed.	"NFAT	126	130	Gene_or_gene_product"	"[{""token"": ""NFAT"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}]"
Rec8 phosphorylation and recombination promote the step - wise loss of cohesins in meiosis.	"Rec8	0	4	Gene_or_gene_product"	"[{""token"": ""Rec8"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Here we show that phosphorylation of the cohesin subunit Rec8 contributes to step - wise cohesin removal.	"Rec8	57	61	Gene_or_gene_product"	"[{""token"": ""Rec8"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Our data further implicate two other key regulators of meiotic chromosome segregation, the cohesin protector Sgo1 and meiotic recombination in bringing about the step - wise loss of cohesins and thus the establishment of the meiotic chromosome segregation pattern.	"Sgo1	109	113	Gene_or_gene_product"	"[{""token"": ""Sgo1"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Gene_or_gene_product""}]"
Puralpha is a ubiquitously expressed multifunctional nucleic acid - binding protein that is involved in many cellular processes including transcriptional regulation, the cell cycle, oncogenic transformation, and post - natal brain development.	"Puralpha	0	8	Gene_or_gene_product"	"[{""token"": ""Puralpha"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Deletion mutants of the E2F - 1 protein showed that the region between amino acid residues 88 - 241 is important for this activity.	"E2F - 1	24	31	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Deletion of a single allele of the Dkk1 gene leads to an increase in bone formation and bone mass.	"Dkk1	35	39	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
Wnt antagonists are thus expected to negatively regulation bone formation.	"Wnt	0	3	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
MATERIALS AND METHODS: In this study, we investigated specifically the role of Dkk1 in bone in vitro and in vivo.	"Dkk1	79	83	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
Using rat primary calvaria cells, we studied the effect of retroviral expression of Dkk1 on osteoblast differentiation.	"Dkk1	84	88	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
In addition, the effect of Dkk1 osteoblast was studied in MC3T3 - E1 cells by means of recombinant protein.	"Dkk1	27	31	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Dkk1 expression also increased adipocyte differentiation in these cell cultures.	"Dkk1	0	4	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Structural, dynamic, and cellular analysis of bone remodeling in Dkk1 ( + / -) mice showed an increase in all bone formation parameters, with no change in bone resorption, leading to a marked increase in bone mass.	"Dkk1	65	69	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: We conclude that Dkk1 protein is a potent negative regulator of osteoblasts in vitro and in vivo.	"Dkk1	30	34	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
In this study, we investigated the signaling pathway involved in IL - 6 production caused by peptidoglycan ( PGN), a cell wall component of the Gram - positive bacterium, Staphylococcus aureus, in RAW 264. 7 macrophages.	"IL - 6	65	71	Gene_or_gene_product"	"[{""token"": ""IL - 6"", ""start_span"": 65, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
PGN caused concentration - and time - dependent increases in IL - 6, PGE ( 2), and cAMP production.	"IL - 6	61	67	Gene_or_gene_product"	"[{""token"": ""IL - 6"", ""start_span"": 61, ""end_span"": 67, ""type"": ""Gene_or_gene_product""}]"
Furthermore, PGE ( 2), an EP2 agonist ( butaprost), an EP2 / PGE ( 3) ( EP3) / EP4 agonist ( misoprostol), and misoprostol in the presence of AH6809 all induced IL - 6 production, whereas an EP1 / EP3 agonist ( sulprostone) did not.	"IL - 6	161	167	Gene_or_gene_product"	"[{""token"": ""IL - 6"", ""start_span"": 161, ""end_span"": 167, ""type"": ""Gene_or_gene_product""}]"
Both PGE ( 2) and 8 - bromo - cAMP also caused IKKdbeta kinase alphabeta phosphorylation.	"IKKdbeta kinase alphabeta	47	72	Gene_or_gene_product"	"[{""token"": ""IKKdbeta kinase alphabeta"", ""start_span"": 47, ""end_span"": 72, ""type"": ""Gene_or_gene_product""}]"
However, PGN - induced NO release is not involved in the signaling pathway of PGN - induced IL - 6 production.	"IL - 6	92	98	Gene_or_gene_product"	"[{""token"": ""IL - 6"", ""start_span"": 92, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}]"
How Gin4 kinase activity is regulated is not known.	"Gin4	4	8	Gene_or_gene_product"	"[{""token"": ""Gin4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Mind the GAP: Wnt steps onto the mTORC1 train.	"Wnt	14	17	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
The TSC1 / 2 tumor - suppressor complex controls protein synthesis through the regulation of mTOR.	"mTOR	93	97	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
Polo kinase controls cell - cycle - dependent transcription by targeting a coactivator protein.	"Polo kinase	0	11	Gene_or_gene_product"	"[{""token"": ""Polo kinase"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}]"
Polo kinases have crucial conserved functions in controlling the eukaryotic cell cycle through orchestrating several events during mitosis.	"Polo kinases	0	12	Gene_or_gene_product"	"[{""token"": ""Polo kinases"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}]"
Thus, polo kinase is required for the production of key mitotic regulators, in addition to previously defined roles in controlling other mitotic events.	"polo kinase	6	17	Gene_or_gene_product"	"[{""token"": ""polo kinase"", ""start_span"": 6, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
In both primary human fibroblasts and in epithelial tumor cells, we find that cyclin A is predominantly nuclear from S phase onwards.	"cyclin A	78	86	Gene_or_gene_product"	"[{""token"": ""cyclin A"", ""start_span"": 78, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
Cyclin A may associated with condensing chromosomes in prophase, but is not associated with condensed chromosomes in metaphase.	"Cyclin A	0	8	Gene_or_gene_product"	"[{""token"": ""Cyclin A"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
By contrast, cyclin B1 accumulates in the cytoplasm of interphase cells and only enters the nucleus at the beginning of mitosis, before nuclear lamina breakdown.	"cyclin B1	13	22	Gene_or_gene_product"	"[{""token"": ""cyclin B1"", ""start_span"": 13, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}]"
In mitotic cells, cyclin B1 associates with condensed chromosomes in prophase and metaphase, and with the mitotic apparatus.	"cyclin B1	18	27	Gene_or_gene_product"	"[{""token"": ""cyclin B1"", ""start_span"": 18, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
The nuclear, but not the cytoplasmic form, of cyclin A is associated with a 33 - kD PSTAIRE - containing protein.	"cyclin A	46	54	Gene_or_gene_product"	"[{""token"": ""cyclin A"", ""start_span"": 46, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"
The checkpoint clamp activates Mec1 kinase during initiation of the DNA damage checkpoint.	"Mec1	31	35	Gene_or_gene_product"	"[{""token"": ""Mec1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
The checkpoint clamp greatly activates the kinase activity of Mec1, but only if the clamp is appropriately loaded upon partial duplex DNA.	"Mec1	62	66	Gene_or_gene_product"	"[{""token"": ""Mec1"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
In this study, we determined the role of PAG608 in methamphetamine - induced neurotoxicity.	"PAG608	41	47	Gene_or_gene_product"	"[{""token"": ""PAG608"", ""start_span"": 41, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
In monoaminergic neuronal B65 cells, which contain serotonin rather than dopamine, methamphetamine - induced cell death was also significantly but partially protected by transient transfection of PAG608 antisense cDNA.	"PAG608	196	202	Gene_or_gene_product"	"[{""token"": ""PAG608"", ""start_span"": 196, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}]"
Furthermore, cell death of PC12 cells produced by methamphetamine ( 1 - 5 mM) was almost completely prevented by stable expression of PAG608 antisense cDNA, compared with significant reduction of cell viability in control PC12 cells.	"PAG608	134	140	Gene_or_gene_product"	"[{""token"": ""PAG608"", ""start_span"": 134, ""end_span"": 140, ""type"": ""Gene_or_gene_product""}]"
The kinase inhibitor p27Kip1 regulates the G1 cell cycle phase.	"p27Kip1	21	28	Gene_or_gene_product"	"[{""token"": ""p27Kip1"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
These data provide a new rationale for Src inhibitors in cancer therapy.	"Src	39	42	Gene_or_gene_product"	"[{""token"": ""Src"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"
It has been demonstrated previously that SWI5 encodes a zinc finger DNA - binding protein whose transcription and cellular localization both are cell cycle regulated.	"SWI5	41	45	Gene_or_gene_product"	"[{""token"": ""SWI5"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Chimeric SWI5 / ACE2 protein fusion experiments suggest that promoter specificity resides in a domain distinct from the zinc finger domain.	"SWI5 / ACE2	9	20	Gene_or_gene_product"	"[{""token"": ""SWI5 / ACE2"", ""start_span"": 9, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
Nutrient - responsive mTOR signalling grows on Sterile ground.	"mTOR	22	26	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Finally, knockdown of MAP4K3 levels causes a decrease in cell size.	"MAP4K3	22	28	Gene_or_gene_product"	"[{""token"": ""MAP4K3"", ""start_span"": 22, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
Given that mTOR activity is frequently deregulated in cancer, there is much interest in new strategies for inhibition of this pathway.	"mTOR	11	15	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
Mitotic phosphorylation of the anaphase - promoting complex inhibitory subunit Mnd2 is necessary for efficient progression through meiosis i.	"Mnd2	79	83	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
In a proteomics screen for post - translational modifications on the APC, we discovered that Mnd2 is phosphorylated during mitosis in a cell cycle - dependent manner.	"Mnd2	93	97	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
We identified and characterized the sites of mitotic Mnd2 phosphorylation during the cell cycle.	"Mnd2	53	57	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
Collective mutation of Mnd2 phosphorylation sites to alanine had no effect on vegetative growth but a striking effect ( > 85% reduction) on the percentage of tetrad - forming cells compared with the wild type strain.	"Mnd2	23	27	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
In contrast, collective mutation of Mnd2 phosphorylation sites to aspartic acid resulted in partial suppression of the sporulation defect.	"Mnd2	36	40	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
No differences were observed in the binding between each Mnd2 isoform and the APC in vitro.	"Mnd2	57	61	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Taken together, these data suggest that mitotic phosphorylation of Mnd2 is necessary for APC - mediated progression beyond the first meiotic nuclear division.	"Mnd2	67	71	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
E2F - 1 controls multiple cellular activities through transcriptional regulation of its target genes.	"E2F - 1	0	7	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
As a mediator of cell death, E2F - 1 can eliminate latent neoplastic cells through apoptosis.	"E2F - 1	29	36	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
However, the mechanism by which E2F - 1 mediates cancer cell killing is largely unknown.	"E2F - 1	32	39	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 32, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
When phosphorylation of Mad3p at two sites is prevented, the cell ' s response to reduced kinetochore tension is dramatically curtailed.	"Mad3p	24	29	Gene_or_gene_product"	"[{""token"": ""Mad3p"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
NGF is recognized for its role in neuronal differentiation and maintenance.	"NGF	0	3	Gene_or_gene_product"	"[{""token"": ""NGF"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
PRAS40 is a target for mammalian target of rapamycin complex 1 and is required for signaling downstream of this complex.	"PRAS40	0	6	Gene_or_gene_product"	"[{""token"": ""PRAS40"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
Signaling through the mammalian target of rapamycin complex 1 ( mTORC1) is positively regulated by amino acids and insulin.	"insulin	115	122	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 115, ""end_span"": 122, ""type"": ""Gene_or_gene_product""}]"
Consistent with this, starvation of cells of amino acids or treatment with rapamycin alters the phosphorylation of PRAS40.	"PRAS40	115	121	Gene_or_gene_product"	"[{""token"": ""PRAS40"", ""start_span"": 115, ""end_span"": 121, ""type"": ""Gene_or_gene_product""}]"
This confirms that PRAS40 is a target for regulation by mTORC1.	"PRAS40	19	25	Gene_or_gene_product"	"[{""token"": ""PRAS40"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
A Bir1p Sli15p kinetochore passenger complex regulates septin organization during anaphase.	"septin	55	61	Gene_or_gene_product"	"[{""token"": ""septin"", ""start_span"": 55, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
Cells lacking Rtt109 are susceptible to perturbations in DNA replication.	"Rtt109	14	20	Gene_or_gene_product"	"[{""token"": ""Rtt109"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
Moreover, the Rtt109 - Vps75 complex interacts with Asf1 - H3 / H4 but not Asf1.	"Asf1	52	56	Gene_or_gene_product"	"[{""token"": ""Asf1"", ""start_span"": 52, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
TNFalpha has recently emerged as a regulator linking inflammation to cancer pathogenesis, but the detailed cellular and molecular mechanisms underlying this link remain to be elucidated.	"TNFalpha	0	8	Gene_or_gene_product"	"[{""token"": ""TNFalpha"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
The tuberous sclerosis 1 ( TSC1) / TSC2 tumor suppressor complex serves as a repressor of the mTOR pathway, and disruption of TSC1 / TSC2 complex function may contribute to tumorigenesis.	"mTOR	94	98	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 94, ""end_span"": 98, ""type"": ""Gene_or_gene_product""}]"
