To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
Abbreviations in the lower left hand corner of each pair of panels represent the gene symbols summarized in Figure 1.	"gene	81	85	Sequence"	"[{""token"": ""gene"", ""start_span"": 81, ""end_span"": 85, ""type"": ""Sequence""}]"
All images are from E17. 5 retina except Gnb3, which was from E16.	"Gnb3	41	45	Gene_or_geneproduct"	"[{""token"": ""Gnb3"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_geneproduct""}]"
( C and D) Hand - drawn diagrams of the cells in ( A) and ( B), respectively.	"cells	40	45	Cell"	"[{""token"": ""cells"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Cell""}]"
( E and F) Images of the outer nuclear layer ( scleral edge up) stained by in situ hybridization for S - opsin.	"S - opsin	101	110	Gene_or_geneproduct"	"[{""token"": ""S - opsin"", ""start_span"": 101, ""end_span"": 110, ""type"": ""Gene_or_geneproduct""}]"
Note the typical pattern of staining at the scleral edge of the outer nuclear layer in the wild type.	"wild type	91	100	Sequence"	"[{""token"": ""wild type"", ""start_span"": 91, ""end_span"": 100, ""type"": ""Sequence""}]"
Since images ( E) and ( F) derive from different retinas than those depicted in ( A) and ( B), the location of the individual cells do not correspond.	"cells	126	131	Cell"	"[{""token"": ""cells"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Cell""}]"
( G and H) Electron micrographs of the outer nuclear layer ( 10, 000 x magnification).	"Electron	11	19	Chemical"	"[{""token"": ""Electron"", ""start_span"": 11, ""end_span"": 19, ""type"": ""Chemical""}]"
A Partial View of the Rod Photoreceptor Transcriptional Regulatory Network	"Rod Photoreceptor	22	39	Cell"	"[{""token"": ""Rod Photoreceptor"", ""start_span"": 22, ""end_span"": 39, ""type"": ""Cell""}]"
Note that Nr2e3 appears to negatively regulate its own transcription.	"Nr2e3	10	15	Gene_or_geneproduct"	"[{""token"": ""Nr2e3"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Gene_or_geneproduct""}]"
JCC contributed reagents / materials / analysis tools.	"reagents	16	24	Chemical"	"[{""token"": ""reagents"", ""start_span"": 16, ""end_span"": 24, ""type"": ""Chemical""}]"
MSUD has several clinical phenotypes depending on the degree of enzyme deficiency.	"enzyme	64	70	Sequence"	"[{""token"": ""enzyme"", ""start_span"": 64, ""end_span"": 70, ""type"": ""Sequence""}]"
A major hurdle in developing new treatments has been the lack of a suitable animal model.	"animal	76	82	Organism"	"[{""token"": ""animal"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Organism""}]"
Approximately 75% of MSUD patients have the classic form of the disease with BCKDH activity in the range of 0 - 2% of normal [ 1].	"BCKDH	77	82	GO_ontology"	"[{""token"": ""BCKDH"", ""start_span"": 77, ""end_span"": 82, ""type"": ""GO_ontology""}]"
These patients show markedly elevated levels of BCAA in blood and other body fluids [ 1].	"BCAA	48	52	Chemical"	"[{""token"": ""BCAA"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Chemical""}]"
Patients with the intermediate form of the disease show BCKDH activity in the range of 3 - 30% of normal.	"BCKDH	56	61	GO_ontology"	"[{""token"": ""BCKDH"", ""start_span"": 56, ""end_span"": 61, ""type"": ""GO_ontology""}]"
In such patients the onset of the disease is delayed, but there are persistently elevated levels of BCAA [ 1].	"BCAA	100	104	Chemical"	"[{""token"": ""BCAA"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Chemical""}]"
The E1 component is a heterotetramer composed of two alpha and two beta subunits [ 3].	"alpha and two beta subunits	53	80	Gene_or_geneproduct"	"[{""token"": ""alpha and two beta subunits"", ""start_span"": 53, ""end_span"": 80, ""type"": ""Gene_or_geneproduct""}]"
However, these patients are now required to take immunosuppressant drugs for the rest of their lives, often with undesirable side effects.	"immunosuppressant drugs	49	72	Chemical"	"[{""token"": ""immunosuppressant drugs"", ""start_span"": 49, ""end_span"": 72, ""type"": ""Chemical""}]"
An obstacle to developing novel treatments for MSUD has been the lack of a suitable animal model to perform necessary preclinical studies.	"animal	84	90	Organism"	"[{""token"": ""animal"", ""start_span"": 84, ""end_span"": 90, ""type"": ""Organism""}]"
The classic model was created by targeted inactivation of the E2 subunit of BCKDH by homologous recombination in embryonic stem ( ES) cells.	"E2 subunit of BCKDH	62	81	Gene_or_geneproduct"	"[{""token"": ""E2 subunit of BCKDH"", ""start_span"": 62, ""end_span"": 81, ""type"": ""Gene_or_geneproduct""}]"
This report describes the generation and characterization of these murine models of MSUD.	"murine	67	73	Organism"	"[{""token"": ""murine"", ""start_span"": 67, ""end_span"": 73, ""type"": ""Organism""}]"
Gene knockout production	"Gene	0	4	Sequence"	"[{""token"": ""Gene"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Sequence""}]"
ES cells were selected with G418 ( 300 mu g / ml; Life Technologies Inc., Gaithersburg, MD) and gancyclovir ( 2 mu M; gift of Syntex, Palo Alto, CA).	"cells	3	8	Cell"	"[{""token"": ""cells"", ""start_span"": 3, ""end_span"": 8, ""type"": ""Cell""}]"
At all generations, + / - breeding pairs were used.	"+	20	21	Sequence"	"[{""token"": ""+"", ""start_span"": 20, ""end_span"": 21, ""type"": ""Sequence""}]"
Results presented here are from mice derived from the F2 + generations.	"mice	32	36	Organism"	"[{""token"": ""mice"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Organism""}]"
Production of intermediate MSUD murine model	"murine	32	38	Organism"	"[{""token"": ""murine"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Organism""}]"
All mice were genotyped by Southern blot analysis.	"mice	4	8	Organism"	"[{""token"": ""mice"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Organism""}]"
Otherwise processing was as for the cells above ( without the fixation and permabilization steps).	"cells	36	41	Cell"	"[{""token"": ""cells"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Cell""}]"
Amino acid analysis	"Amino acid	0	10	Chemical"	"[{""token"": ""Amino acid"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Chemical""}]"
Assay of BCKDH activity	"BCKDH	9	14	GO_ontology"	"[{""token"": ""BCKDH"", ""start_span"": 9, ""end_span"": 14, ""type"": ""GO_ontology""}]"
Livers were removed, frozen in liquid nitrogen, and stored at - 80 degrees C.	"nitrogen	38	46	Chemical"	"[{""token"": ""nitrogen"", ""start_span"": 38, ""end_span"": 46, ""type"": ""Chemical""}]"
BCKDH activity was determined by measuring the release of 14CO2 from alpha - keto [ 1 - 14C] isocaproate as described previously [ 31].	"BCKDH	0	5	GO_ontology"	"[{""token"": ""BCKDH"", ""start_span"": 0, ""end_span"": 5, ""type"": ""GO_ontology""}]"
Assays were carried out for 15 min at 37 degrees C, 14CO2 was trapped in hydroxide of Hyamine, and radioactivity was determined by liquid scintillation spectrometry.	"hydroxide	73	82	Chemical"	"[{""token"": ""hydroxide"", ""start_span"": 73, ""end_span"": 82, ""type"": ""Chemical""}]"
Differences between genotypes were compared by Student ' s t test [ 32].	"genotypes	20	29	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 20, ""end_span"": 29, ""type"": ""Sequence""}]"
Chimerics were bred to C57BL / 6J mice.	"mice	34	38	Organism"	"[{""token"": ""mice"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Organism""}]"
Mice were genotyped by Southern blot analysis.	"Mice	0	4	Organism"	"[{""token"": ""Mice"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Organism""}]"
However, as expected, nearly all homozygous mice died in the perinatal period.	"mice	44	48	Organism"	"[{""token"": ""mice"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Organism""}]"
Biochemical characterization of the classic MSUD murine model.	"murine	49	55	Organism"	"[{""token"": ""murine"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Organism""}]"
The numbers on the bars indicates the number of mice analyzed.	"mice	48	52	Organism"	"[{""token"": ""mice"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Organism""}]"
These blood amino acid results are consistent with the concentrations seen in patients with MSUD [ 1, 8, 15].	"amino acid	12	22	Chemical"	"[{""token"": ""amino acid"", ""start_span"": 12, ""end_span"": 22, ""type"": ""Chemical""}]"
Summary of additional blood amino acid levels in the classic MSUD model and control littermates as determined by tandem mass spectrometry.	"amino acid	28	38	Chemical"	"[{""token"": ""amino acid"", ""start_span"": 28, ""end_span"": 38, ""type"": ""Chemical""}]"
These phenotypes are remarkably similar to that observed in humans with the classic form of MSUD.	"humans	60	66	Organism"	"[{""token"": ""humans"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Organism""}]"
From the injections at the University of Cincinnati, we obtained 8 transgene positive founders.	"transgene	67	76	Sequence"	"[{""token"": ""transgene"", ""start_span"": 67, ""end_span"": 76, ""type"": ""Sequence""}]"
We established a total of 15 different transgenic lines from these founders.	"transgenic	39	49	Sequence"	"[{""token"": ""transgenic"", ""start_span"": 39, ""end_span"": 49, ""type"": ""Sequence""}]"
To efficiently screen for the ability of the transgenes to rescue the knockout from neonatal lethality, we genotyped litters at weaning.	"transgenes	45	55	Sequence"	"[{""token"": ""transgenes"", ""start_span"": 45, ""end_span"": 55, ""type"": ""Sequence""}]"
The line with the highest percentage of rescue mice at weaning was line 525 A.	"mice	47	51	Organism"	"[{""token"": ""mice"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Organism""}]"
All other lines tested produced surviving rescue animals at a frequency between 1 and 5% of weaned pups.	"animals	49	56	Organism"	"[{""token"": ""animals"", ""start_span"": 49, ""end_span"": 56, ""type"": ""Organism""}]"
Characterization of the intermediate MSUD murine model.	"murine	42	48	Organism"	"[{""token"": ""murine"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Organism""}]"
A, Survival analysis of transgenic rescue lines.	"transgenic	24	34	Sequence"	"[{""token"": ""transgenic"", ""start_span"": 24, ""end_span"": 34, ""type"": ""Sequence""}]"
D, Survival curves for mice from Lines A and 525A.	"mice	23	27	Organism"	"[{""token"": ""mice"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Organism""}]"
Summary of additional blood amino acid levels in the intermediate MSUD model and littermate controls as determined by tandem mass spectrometry.	"amino acid	28	38	Chemical"	"[{""token"": ""amino acid"", ""start_span"": 28, ""end_span"": 38, ""type"": ""Chemical""}]"
Samples were collected from mice that were 4 - 6 weeks of age.	"mice	28	32	Organism"	"[{""token"": ""mice"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Organism""}]"
As shown in Figure 3C, D and 3E respectively, expression of E2 is negligible in those tissues.	"E2	60	62	Gene_or_geneproduct"	"[{""token"": ""E2"", ""start_span"": 60, ""end_span"": 62, ""type"": ""Gene_or_geneproduct""}]"
By 16 weeks, all mice of Line A were moribund and humanely sacrificed, or were found dead in their cage.	"mice	17	21	Organism"	"[{""token"": ""mice"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Organism""}]"
At 20 weeks of age, ~ 12% of mice ( 2 of 16) were still alive.	"mice	29	33	Organism"	"[{""token"": ""mice"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Organism""}]"
Thus, these rescue mice represent a very useful model of the intermediate MSUD phenotype.	"mice	19	23	Organism"	"[{""token"": ""mice"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Organism""}]"
A major hurdle in developing new treatments for MSUD has been the lack of a practical, accurate animal model of the disease.	"animal	96	102	Organism"	"[{""token"": ""animal"", ""start_span"": 96, ""end_span"": 102, ""type"": ""Organism""}]"
Knockout mice were born at the expected frequency and appeared normal at birth.	"mice	9	13	Organism"	"[{""token"": ""mice"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Organism""}]"
Within a day of birth and following suckling, blood levels of BCAA were markedly elevated.	"BCAA	62	66	Chemical"	"[{""token"": ""BCAA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Chemical""}]"
The phenotypic behavior of homozygous mouse pups resembles symptoms seen in newborn classic MSUD patients.	"mouse	38	43	Organism"	"[{""token"": ""mouse"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Organism""}]"
This neonatal lethality is likely due to the accumulation of BCAA to neurotoxic levels, ketoacidosis, brain edema, dehydration, and malnutrition as observed in the MSUD calf [ 17] and in classic MSUD patients [ 1].	"BCAA	61	65	Chemical"	"[{""token"": ""BCAA"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Chemical""}]"
Many of the rescue mice survived to adulthood.	"mice	19	23	Organism"	"[{""token"": ""mice"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Organism""}]"
Furthermore, no case of MSUD has been described attributing this disease to BCAT deficiency.	"BCAT	76	80	Gene_or_geneproduct"	"[{""token"": ""BCAT"", ""start_span"": 76, ""end_span"": 80, ""type"": ""Gene_or_geneproduct""}]"
Such studies are very difficult / impossible to do in human patients for obvious ethical reasons, and often must rely on autopsy tissue.	"human	54	59	Organism"	"[{""token"": ""human"", ""start_span"": 54, ""end_span"": 59, ""type"": ""Organism""}]"
Additionally, the intermediate MSUD model may also be useful for studies to test the effect of thiamin.	"thiamin	95	102	Chemical"	"[{""token"": ""thiamin"", ""start_span"": 95, ""end_span"": 102, ""type"": ""Chemical""}]"
A thiamin - responsive form of MSUD has been described [ 1].	"thiamin	2	9	Chemical"	"[{""token"": ""thiamin"", ""start_span"": 2, ""end_span"": 9, ""type"": ""Chemical""}]"
Because of recent interest in structural analysis of multienzyme complexes [ 35, 36, 45, 46], the intermediate MSUD model may provide a valuable resource for studies of structural biology.	"complexes	65	74	GO_ontology"	"[{""token"": ""complexes"", ""start_span"": 65, ""end_span"": 74, ""type"": ""GO_ontology""}]"
GEH designed and produced the mouse models, coordinated experiments, interpreted data, and helped draft the manuscript.	"mouse	30	35	Organism"	"[{""token"": ""mouse"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Organism""}]"
CF assisted with production of the mouse models, data collection, analysis, and interpretation.	"mouse	35	40	Organism"	"[{""token"": ""mouse"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Organism""}]"
The authors would like to thank Frank Kist, Jodi Dagget, Edward Mallick, Brian Sloat, and Judith Rodda for expert technical assistance, and Dr. Susan Hutson for the gift of E2 antiserum.	"E2	173	175	Gene_or_geneproduct"	"[{""token"": ""E2"", ""start_span"": 173, ""end_span"": 175, ""type"": ""Gene_or_geneproduct""}]"
Surprisingly, however, some carrier females established a normal placenta and appeared to escape the usual pattern of imprinted X - inactivation in these tissues.	"X	128	129	GO_ontology"	"[{""token"": ""X"", ""start_span"": 128, ""end_span"": 129, ""type"": ""GO_ontology""}]"
Although affected male mice ( XMUTY) started to develop normally, they died early in development because they failed to form a normal placenta.	"mice	23	27	Organism"	"[{""token"": ""mice"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Organism""}]"
This study has therefore demonstrated an important facet of X - chromosome imprinting.	"X - chromosome	60	74	GO_ontology"	"[{""token"": ""X - chromosome"", ""start_span"": 60, ""end_span"": 74, ""type"": ""GO_ontology""}]"
Perturbed Growth and Methylation Defects in Atrxnull ES Cells	"Cells	56	61	Cell"	"[{""token"": ""Cells"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Cell""}]"
The relative abundance of the different alleles in the culture at each time point was analysed by Southern blotting ( Figure 3A).	"alleles	40	47	Sequence"	"[{""token"": ""alleles"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Sequence""}]"
Consistent with the normal cell - cycle profile observed above, there was no depletion in the size of the mitotic population in the Atrxnull ES clones, despite their slow growth.	"cell	27	31	Cell"	"[{""token"": ""cell"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Cell""}]"
Early Embryonic Lethality in Atrxnull Male Mice	"Mice	43	47	Organism"	"[{""token"": ""Mice"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Organism""}]"
Embryos were dissected at 7. 5, 8. 5, and 9. 5 dpc and genotyped by PCR analysis of DNA extracted from yolk sac or total embryo ( Figure 4B and Protocol S1).	"DNA	84	87	Sequence"	"[{""token"": ""DNA"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Sequence""}]"
Only background staining was seen in the corresponding Atrxnull embryonic tissues ( Figure 5B - 5D), while expression in the surrounding decidual tissue ( of maternal origin) was normal and served as an antibody staining control ( unpublished data).	"antibody	203	211	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 203, ""end_span"": 211, ""type"": ""GO_ontology""}]"
Morphologically, 7. 5 dpc Atrxnull embryos were dramatically reduced in size and appeared developmentally retarded relative to stage - matched wild - type embryos ( Figure 5A and 5B).	"wild - type	143	154	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 143, ""end_span"": 154, ""type"": ""Sequence""}]"
Individual conceptuses were genotyped by PCR using DNA isolated from yolk sac as described in Protocol S1.	"DNA	51	54	Sequence"	"[{""token"": ""DNA"", ""start_span"": 51, ""end_span"": 54, ""type"": ""Sequence""}]"
Since this small apoptotic response is unlikely to account fully for the dramatic size deficit observed in Atrxnull embryos, a possible proliferation defect was also investigated by immunohistochemical staining of 7. 5 dpc embryo sections for the mitosis marker phosphorylated ( Ser10) histone H3 [ 13].	"histone	286	293	Chemical"	"[{""token"": ""histone"", ""start_span"": 286, ""end_span"": 293, ""type"": ""Chemical""}]"
When embryos were removed from deciduas, the surrounding trophectoderm layer appeared dramatically reduced in Atrxnull embryos relative to wild - type littermates, and the underlying ectoplacental cone appeared reduced and abnormally shaped ( Figure 7A).	"wild - type	139	150	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 139, ""end_span"": 150, ""type"": ""Sequence""}]"
Taken together, these data suggest that loss of Atrx results in a defect in formation of the secondary trophoblast that is apparent from 7. 5 dpc.	"Atrx	48	52	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Gene_or_geneproduct""}]"
Surviving adult carrier female mice were not phenotypically normal and exhibited mild behavioural abnormalities, although some could reproduce.	"mice	31	35	Organism"	"[{""token"": ""mice"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Organism""}]"
However, the absence of Atrx in the extraembryonic compartment is lethal in Atrxnull / Y males.	"Atrx	24	28	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_geneproduct""}]"
This suggested the possibility of an escape from imprinted inactivation of the paternally derived AtrxWT allele in the extraembryonic compartment of a proportion of carrier female embryos.	"allele	105	111	Sequence"	"[{""token"": ""allele"", ""start_span"": 105, ""end_span"": 111, ""type"": ""Sequence""}]"
In these carrier females, the AtrxWT allele is paternally inherited.	"allele	37	43	Sequence"	"[{""token"": ""allele"", ""start_span"": 37, ""end_span"": 43, ""type"": ""Sequence""}]"
Remarkably, clear Atrx expression could also be detected in the extraembryonic tissues of carrier females, as shown in the extraembryonic - derived chorionic ectoderm ( Figure 8C).	"Atrx	18	22	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_geneproduct""}]"
Atrx expression was also clearly detected in other extraembryonic structures, including TGCs ( unpublished data).	"Atrx	0	4	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Escape from silencing of an Xp - inherited AtrxWT allele was also observed in the chorionic ectoderm of carrier females at 8. 5 dpc ( Figure S4).	"allele	50	56	Sequence"	"[{""token"": ""allele"", ""start_span"": 50, ""end_span"": 56, ""type"": ""Sequence""}]"
Atrxnull ES cells could not be recovered by direct targeting and were eventually generated by adopting a conditional targeting approach.	"cells	12	17	Cell"	"[{""token"": ""cells"", ""start_span"": 12, ""end_span"": 17, ""type"": ""Cell""}]"
At present, the cause of the proliferative delay in Atrxnull ES cells is not known.	"cells	64	69	Cell"	"[{""token"": ""cells"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Cell""}]"
We show that Atrxnull male mice are not viable and embryos die by around 9. 5 dpc.	"mice	27	31	Organism"	"[{""token"": ""mice"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Organism""}]"
Although the embryonic compartment of the conceptus appears initially normal, by 7. 5 dpc Atrxnull embryos display abnormalities in development of the trophoblast, including a depletion in the population of TGCs surrounding the conceptus and a reduction in the size of the ectoplacental cone, which contains the diploid giant cell precursors [ 22].	"diploid giant cell	312	330	Cell"	"[{""token"": ""diploid giant cell"", ""start_span"": 312, ""end_span"": 330, ""type"": ""Cell""}]"
These highly invasive cells are important for mediating initial invasion of the uterine tissue, but are also involved in remodelling the maternal decidua after implantation and in secreting hormones that regulate fetal and maternal growth [ 24].	"cells	22	27	Cell"	"[{""token"": ""cells"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Cell""}]"
Indeed, the birth weight of babies with ATR - X syndrome is usually normal.	"ATR - X	40	47	Gene_or_geneproduct"	"[{""token"": ""ATR - X"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Gene_or_geneproduct""}]"
Comparison with other phenotypes might provide some insight into the role of Atrx in trophoblast development.	"Atrx	77	81	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Gene_or_geneproduct""}]"
Although not phenotypically normal, some Atrx carrier females developed to term and went on to reproduce.	"Atrx	41	45	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_geneproduct""}]"
Put simply, carrier females bearing a small initial population of escaping cells would be more severely affected than those bearing a larger population.	"cells	75	80	Cell"	"[{""token"": ""cells"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Cell""}]"
This could explain why we have observed significant phenotypic variation among Atrx carrier females, with some carriers dying in utero by 9. 5 dpc ( Table 1) and others developing to term.	"Atrx	79	83	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Gene_or_geneproduct""}]"
Conditional inactivation of Atrx in other tissues is underway.	"Atrx	28	32	Gene_or_geneproduct"	"[{""token"": ""Atrx"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}]"
A detailed description of the targeting construct is provided in [ 20].	"construct	40	49	Sequence"	"[{""token"": ""construct"", ""start_span"": 40, ""end_span"": 49, ""type"": ""Sequence""}]"
Cre - recombination and characterisation of Atrxnull ES cells and embryoid bodies.	"cells	56	61	Cell"	"[{""token"": ""cells"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Cell""}]"
Following transfection, cells were plated at a range of clonal densities in complete medium without G418, and isolated subclones were picked after 7 d.	"cells	24	29	Cell"	"[{""token"": ""cells"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Cell""}]"
Analyses of cell cycle and apoptosis are described in Protocol S1.	"cell	12	16	Cell"	"[{""token"": ""cell"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Cell""}]"
All oligonucleotide sequences are shown in Table S1.	"oligonucleotide sequences	4	29	Sequence"	"[{""token"": ""oligonucleotide sequences"", ""start_span"": 4, ""end_span"": 29, ""type"": ""Sequence""}]"
Targeted Atrxflox ES cell clones were injected into C57BL / 6 blastocysts and transferred into 2. 5 dpc pseudopregnant recipients by standard techniques.	"cell	21	25	Cell"	"[{""token"": ""cell"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Cell""}]"
Recombinant alleles were detected by Southern blotting as described above or by PCR as described in Protocol S1.	"alleles	12	19	Sequence"	"[{""token"": ""alleles"", ""start_span"": 12, ""end_span"": 19, ""type"": ""Sequence""}]"
After labelling, these slides were mounted in Vectashield containing DAPI ( Vector Laboratories, Burlingame, California, United States) and visualised by fluorescence microscopy.	"Vector	76	82	Sequence"	"[{""token"": ""Vector"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Sequence""}]"
After 7 d, cultures were harvested and DNA extracted.	"DNA	39	42	Sequence"	"[{""token"": ""DNA"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Sequence""}]"
The ES cell clone analysed in each trace is indicated.	"cell	7	11	Cell"	"[{""token"": ""cell"", ""start_span"": 7, ""end_span"": 11, ""type"": ""Cell""}]"
A cross was carried out between a carrier female ( AtrxWT / null) and wild - type male ( AtrxWT / Y), and embryos were dissected in their deciduas at 8. 5 dpc.	"wild - type	70	81	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 70, ""end_span"": 81, ""type"": ""Sequence""}]"
( B) High - magnification image ( 400 x) of the same embryo depicted in ( A), showing the extraembryonic derived - chorionic ectoderm ( ce) and visceral endoderm ( ve), two tissues that undergo imprinted X - inactivation.	"X	204	205	GO_ontology"	"[{""token"": ""X"", ""start_span"": 204, ""end_span"": 205, ""type"": ""GO_ontology""}]"
Primers Used in This Study	"Primers	0	7	Sequence"	"[{""token"": ""Primers"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Sequence""}]"
TGC - trophoblast giant cell	"trophoblast giant cell	6	28	Cell"	"[{""token"": ""trophoblast giant cell"", ""start_span"": 6, ""end_span"": 28, ""type"": ""Cell""}]"
The boxes represent the 36 exons.	"exons	27	32	Sequence"	"[{""token"": ""exons"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Sequence""}]"
The introns are not to scale.	"introns	4	11	Sequence"	"[{""token"": ""introns"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Sequence""}]"
The alternative splicing of exons 6 and 7 is indicated.	"exons	28	33	Sequence"	"[{""token"": ""exons"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Sequence""}]"
The scale bar represents 200 amino acids.	"amino acids	29	40	Chemical"	"[{""token"": ""amino acids"", ""start_span"": 29, ""end_span"": 40, ""type"": ""Chemical""}]"
Growth and Methylation Defects in Atrxnull ES Cells	"Cells	46	51	Cell"	"[{""token"": ""Cells"", ""start_span"": 46, ""end_span"": 51, ""type"": ""Cell""}]"
The expected sizes of the different alleles are indicated.	"alleles	36	43	Sequence"	"[{""token"": ""alleles"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Sequence""}]"
Arrows indicate the fully methylated copies ( cut by only the limit - digesting enzyme).	"enzyme	80	86	Sequence"	"[{""token"": ""enzyme"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Sequence""}]"
The y - axis shows the percentage of copies that are undigested by the methylation - sensitive enzyme as a percentage of the total signal from cut and uncut rDNA.	"enzyme	95	101	Sequence"	"[{""token"": ""enzyme"", ""start_span"": 95, ""end_span"": 101, ""type"": ""Sequence""}]"
In the left image, the wild - type female ( three - somite stage, left) is surrounded by trophoblast ( t) while the trophoblast component surrounding the Atrxnull males ( at headfold / presomite [ middle] and two - somite stages [ right], respectively) is severely depleted.	"wild - type	23	34	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 23, ""end_span"": 34, ""type"": ""Sequence""}]"
TGCs are stained with Pl - 1.	"Pl - 1	22	28	Gene_or_geneproduct"	"[{""token"": ""Pl - 1"", ""start_span"": 22, ""end_span"": 28, ""type"": ""Gene_or_geneproduct""}]"
Escape from Imprinted Inactivation of the Paternally Inherited AtrxWT Allele in Carrier Females	"Allele	70	76	Sequence"	"[{""token"": ""Allele"", ""start_span"": 70, ""end_span"": 76, ""type"": ""Sequence""}]"
LD contributed reagents / materials / analysis tools.	"reagents	15	23	Chemical"	"[{""token"": ""reagents"", ""start_span"": 15, ""end_span"": 23, ""type"": ""Chemical""}]"
Generation of the ApcCKO and Apc Delta 580 Mice	"Mice	43	47	Organism"	"[{""token"": ""Mice"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Organism""}]"
The loxP and FRT sites were used to aid unidirectional recombination [ 12, 13].	"loxP and FRT sites	4	22	Sequence"	"[{""token"": ""loxP and FRT sites"", ""start_span"": 4, ""end_span"": 22, ""type"": ""Sequence""}]"
Approximately one - quarter of the offspring ( 17 of 81) were homozygous for the ApcCKO allele.	"allele	88	94	Sequence"	"[{""token"": ""allele"", ""start_span"": 88, ""end_span"": 94, ""type"": ""Sequence""}]"
