The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Mutated CEBPA defines a subgroup of acute myeloid leukemia ( AML).	"CEBPA	8	13	Gene_or_gene_product"	"[{""token"": ""CEBPA"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
Although hundreds of SUMO targets have been identified, many biological outcomes of protein sumoylation remain poorly understood.	"SUMO	21	25	Gene_or_gene_product"	"[{""token"": ""SUMO"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
This approach may be extended to other SUMO substrates not isolable by classical chromatography techniques.	"SUMO	39	43	Gene_or_gene_product"	"[{""token"": ""SUMO"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"
These findings suggest that inhibition of FADD phosphorylation is a viable target for cancer therapy.	"FADD	42	46	Gene_or_gene_product"	"[{""token"": ""FADD"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
In addition, the presented results provide proof - of - principle studies as to the validity of targeting FADD - kinase activity as a novel cancer therapy strategy.	"FADD	106	110	Gene_or_gene_product"	"[{""token"": ""FADD"", ""start_span"": 106, ""end_span"": 110, ""type"": ""Gene_or_gene_product""}]"
However, the biological role of POP2 and the molecular basis for its observed functions are not well understood.	"POP2	32	36	Gene_or_gene_product"	"[{""token"": ""POP2"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
Collectively, these data demonstrate that POP2 acts as a regulator of inflammatory signals and exerts its two known functions through distinct modalities employed by its first alpha - helix.	"POP2	42	46	Gene_or_gene_product"	"[{""token"": ""POP2"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
GLK - deficient mice had impaired immune responses and were resistant to experimental autoimmune encephalomyelitis.	"GLK	0	3	Gene_or_gene_product"	"[{""token"": ""GLK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
We cloned 6kb of the human TNIP1 promoter and performed predictive and functional analyses to identify regulatory elements.	"TNIP1	27	32	Gene_or_gene_product"	"[{""token"": ""TNIP1"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Throughout the 6kb length, in silico analysis identified several potential binding sites for both constitutive and inducible transcription factors; among the latter were candidate NF - kappaB binding sequences and peroxisome proliferator response elements ( PPREs).	"NF - kappaB	180	191	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 180, ""end_span"": 191, ""type"": ""Complex""}]"
However, the molecular basis and therapeutic targets of AML1 - related leukemia are still elusive.	"AML1	56	60	Gene_or_gene_product"	"[{""token"": ""AML1"", ""start_span"": 56, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"
Here, we explored immediate target pathways of AML1 by in vitro synchronous inactivation in hematopoietic cells.	"AML1	47	51	Gene_or_gene_product"	"[{""token"": ""AML1"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
Transcriptional mechanisms regulating type I collagen genes expression in physiopathological situations are not completely known.	"type I collagen	38	53	Gene_or_gene_product"	"[{""token"": ""type I collagen"", ""start_span"": 38, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
Our previous work implied that non - LEE - encoded ( Nle) effectors possess functions that inhibit epithelial anti - microbial and inflammation - inducing responses by blocking NF - kappaB transcription factor activity.	"NF - kappaB	177	188	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 177, ""end_span"": 188, ""type"": ""Complex""}]"
In endothelial cells ( EC), the transcription factor NF - kappaB is important in the switch from quiescence to activation, and is tightly controlled to avoid excessive inflammation and organ damage.	"NF - kappaB	53	64	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 53, ""end_span"": 64, ""type"": ""Complex""}]"
Here we describe a novel mechanism that controls the activation of NF - kappaB in EC.	"NF - kappaB	67	78	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 67, ""end_span"": 78, ""type"": ""Complex""}]"
These results identify a role for Erg as a gatekeeper controlling vascular inflammation, thus providing an important barrier to protect against inappropriate endothelial activation.	"Erg	34	37	Gene_or_gene_product"	"[{""token"": ""Erg"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"
"Experimental comparison with such stabilized mutants helps provide evidence that much of the system control depends on the "" fuzziness "" of IkappaBalpha."	"IkappaBalpha	140	152	Gene_or_gene_product"	"[{""token"": ""IkappaBalpha"", ""start_span"": 140, ""end_span"": 152, ""type"": ""Gene_or_gene_product""}]"
However, addition of non - phosphorylated eIF - 4E to the phosphorylated complex results in the dissociation of the complex.	"eIF - 4E	42	50	Gene_or_gene_product"	"[{""token"": ""eIF - 4E"", ""start_span"": 42, ""end_span"": 50, ""type"": ""Gene_or_gene_product""}]"
Since the rate of phosphorylation / dephosphorylation is significantly greater in the complex, regulation of the cap binding protein by phosphorylation appears to occur primarily on eIF - 4F.	"eIF - 4F	182	190	Complex"	"[{""token"": ""eIF - 4F"", ""start_span"": 182, ""end_span"": 190, ""type"": ""Complex""}]"
Molecular cloning, primary structure, and expression of the human platelet / erythroleukemia cell 12 - lipoxygenase.	"12 - lipoxygenase	98	115	Gene_or_gene_product"	"[{""token"": ""12 - lipoxygenase"", ""start_span"": 98, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
Using a combination of the polymerase chain reaction and conventional screening procedures, we have isolated cDNA clones encoding the human platelet / human erythroleukemia ( HEL) cell 12 - lipoxygenase.	"12 - lipoxygenase	185	202	Gene_or_gene_product"	"[{""token"": ""12 - lipoxygenase"", ""start_span"": 185, ""end_span"": 202, ""type"": ""Gene_or_gene_product""}]"
From the deduced primary structure, human platelet / HEL 12 - lipoxygenase would encode a Mr 75, 000 protein consisting of 663 amino acids.	"12 - lipoxygenase	57	74	Gene_or_gene_product"	"[{""token"": ""12 - lipoxygenase"", ""start_span"": 57, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
The cDNA encoding the full - length protein ( pCDNA - 121x) under the control of the cytomegalovirus promoter was expressed in simian COS - M6 cells.	"pCDNA - 121x	46	58	Gene_or_gene_product"	"[{""token"": ""pCDNA - 121x"", ""start_span"": 46, ""end_span"": 58, ""type"": ""Gene_or_gene_product""}]"
Intact cells and lysed - cell supernatants were able to synthesize 12 - H ( P) ETE from arachidonic acid, whereas no 12 - H ( P) ETE synthesis was detected in mock - transfected cells.	"arachidonic acid	88	104	Chemical"	"[{""token"": ""arachidonic acid"", ""start_span"": 88, ""end_span"": 104, ""type"": ""Chemical""}]"
Sequence data and previously demonstrated immunochemical and biochemical evidence support the existence of distinct 12 - lipoxygenase isoforms.	"12 - lipoxygenase	116	133	Gene_or_gene_product"	"[{""token"": ""12 - lipoxygenase"", ""start_span"": 116, ""end_span"": 133, ""type"": ""Gene_or_gene_product""}]"
The availability of cDNA probes for human platelet / HEL cell 12 - lipoxygenase should facilitate elucidation of the biological role of this pathway.	"12 - lipoxygenase	62	79	Gene_or_gene_product"	"[{""token"": ""12 - lipoxygenase"", ""start_span"": 62, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"
The most important kinetic property of the Na + - H + exchanger is its greater than first - order dependence on [ H +] i.	"Na + - H + exchanger	43	63	Gene_or_gene_product"	"[{""token"": ""Na + - H + exchanger"", ""start_span"": 43, ""end_span"": 63, ""type"": ""Gene_or_gene_product""}]"
Molecular cloning of the beta - subunit of human prolyl 4 - hydroxylase.	"prolyl 4 - hydroxylase	49	71	Complex"	"[{""token"": ""prolyl 4 - hydroxylase"", ""start_span"": 49, ""end_span"": 71, ""type"": ""Complex""}]"
This subunit and protein disulphide isomerase are products of the same gene.	"protein disulphide isomerase	17	45	Gene_or_gene_product"	"[{""token"": ""protein disulphide isomerase"", ""start_span"": 17, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
We report here the isolation of cDNA clones coding for the beta - subunit of prolyl 4 - hydroxylase from a human hepatoma lambda gt11 library and a corresponding human placenta library.	"prolyl 4 - hydroxylase	77	99	Complex"	"[{""token"": ""prolyl 4 - hydroxylase"", ""start_span"": 77, ""end_span"": 99, ""type"": ""Complex""}]"
These human sequences were found to be very similar to those recently reported for rat protein disulphide isomerase ( EC 5. 3. 4. 1).	"protein disulphide isomerase	87	115	Gene_or_gene_product"	"[{""token"": ""protein disulphide isomerase"", ""start_span"": 87, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
The product of a single gene thus appears to possess two different enzymatic functions depending on whether it is present in cells in monomer form or in the prolyl 4 - hydroxylase tetramer.	"prolyl 4 - hydroxylase	157	179	Complex"	"[{""token"": ""prolyl 4 - hydroxylase"", ""start_span"": 157, ""end_span"": 179, ""type"": ""Complex""}]"
Acetylcarnitine production from some substrates peaks and then declines, indicating uptake and utilization.	"Acetylcarnitine	0	15	Chemical"	"[{""token"": ""Acetylcarnitine"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Chemical""}]"
GlcA ( 2 - SO4) - [ 3H] AManR ( 6 - SO4) was prepared by epimerization of IdoA ( 2 - SO4) - [ 3H] AManR ( 6 - SO4) with hydrazine at 100 degrees C.	"hydrazine	120	129	Chemical"	"[{""token"": ""hydrazine"", ""start_span"": 120, ""end_span"": 129, ""type"": ""Chemical""}]"
The glucurono - 2 - sulfatase exhibited a pH optimum of 4.	"glucurono - 2 - sulfatase	4	29	Gene_or_gene_product"	"[{""token"": ""glucurono - 2 - sulfatase"", ""start_span"": 4, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
We have overexpressed the nim1 protein in both bacteria and insect cells.	"nim1	26	30	Gene_or_gene_product"	"[{""token"": ""nim1"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Molecular cloning and characterization of a second subunit of the interleukin 1 receptor complex.	"interleukin 1 receptor	66	88	Complex"	"[{""token"": ""interleukin 1 receptor"", ""start_span"": 66, ""end_span"": 88, ""type"": ""Complex""}]"
Therefore, the functional IL - 1 receptor appears to be a complex composed of at least two subunits.	"IL - 1 receptor	26	41	Complex"	"[{""token"": ""IL - 1 receptor"", ""start_span"": 26, ""end_span"": 41, ""type"": ""Complex""}]"
Human liver arylacetamide deacetylase.	"arylacetamide deacetylase	12	37	Gene_or_gene_product"	"[{""token"": ""arylacetamide deacetylase"", ""start_span"": 12, ""end_span"": 37, ""type"": ""Gene_or_gene_product""}]"
The cDNA was confirmed to be that for DAC in tryptic peptides from the purified human liver protein.	"DAC	38	41	Gene_or_gene_product"	"[{""token"": ""DAC"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
Highest sequence similarity of DAC was found in a series of prokaryotic esterases encompassing the putative active site.	"DAC	31	34	Gene_or_gene_product"	"[{""token"": ""DAC"", ""start_span"": 31, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
These proteins were released from this complex capable, in the case of tubulin, of forming heterodimers.	"tubulin	71	78	Gene_or_gene_product"	"[{""token"": ""tubulin"", ""start_span"": 71, ""end_span"": 78, ""type"": ""Gene_or_gene_product""}]"
The Saccharomyces cerevisiae SWI4 gene encodes an essential transcription factor which controls gene expression at the G1 / S transition of the cell cycle.	"SWI4	29	33	Gene_or_gene_product"	"[{""token"": ""SWI4"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
Deletion analysis of the SWI4 promoter has defined a 140 - bp region which is absolutely required for transcription and can function as a cell cycle - regulated upstream activating sequence ( UAS).	"SWI4	25	29	Gene_or_gene_product"	"[{""token"": ""SWI4"", ""start_span"": 25, ""end_span"": 29, ""type"": ""Gene_or_gene_product""}]"
These data suggest that MCBs are involved in SWI4 UAS activity, but at least one other periodically regulated element must be present.	"SWI4	45	49	Gene_or_gene_product"	"[{""token"": ""SWI4"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Gene_or_gene_product""}]"
The second activator may also target MCB elements, since SWI4 transcription drops dramatically when they are deleted.	"SWI4	57	61	Gene_or_gene_product"	"[{""token"": ""SWI4"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Gene_or_gene_product""}]"
We report here the identification of the first human PLD cDNA, which defines a new and highly conserved gene family.	"PLD	53	56	Gene_or_gene_product"	"[{""token"": ""PLD"", ""start_span"": 53, ""end_span"": 56, ""type"": ""Gene_or_gene_product""}]"
Protein kinase C is regulated in vivo by three functionally distinct phosphorylations.	"Protein kinase C	0	16	Gene_or_gene_product"	"[{""token"": ""Protein kinase C"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Gene_or_gene_product""}]"
Here, we show that protein kinase C must first be processed by three distinct phosphorylations before it is competent to respond to second messengers.	"protein kinase C	19	35	Gene_or_gene_product"	"[{""token"": ""protein kinase C"", ""start_span"": 19, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
RESULTS: We have identified the positions and functions of the in vivo phosphorylation sites of protein kinase C by mass spectrometry and peptide sequencing of native and phosphatase - treated kinase from the detergent - soluble fraction of cells.	"protein kinase C	96	112	Gene_or_gene_product"	"[{""token"": ""protein kinase C"", ""start_span"": 96, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
Firstly, trans - phosphorylation on the activation loop ( T500) renders it catalytically competent to autophosphorylate.	"T500	58	62	Chemical"	"[{""token"": ""T500"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Chemical""}]"
Secondly, a subsequent autophosphorylation on the carboxyl terminus ( T641) maintains catalytic competence.	"T641	70	74	Chemical"	"[{""token"": ""T641"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Chemical""}]"
No evidence for physiological control of type I cotransporters has been obtained.	"type I cotransporters	41	62	Gene_or_gene_product"	"[{""token"": ""type I cotransporters"", ""start_span"": 41, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
Cloning and expression of the adenosine kinase gene from rat and human tissues.	"adenosine kinase	30	46	Gene_or_gene_product"	"[{""token"": ""adenosine kinase"", ""start_span"": 30, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
In this paper we report the cloning of cDNAs encoding adenosine kinase from both rat and human tissues.	"adenosine kinase	54	70	Gene_or_gene_product"	"[{""token"": ""adenosine kinase"", ""start_span"": 54, ""end_span"": 70, ""type"": ""Gene_or_gene_product""}]"
Two distinct forms of adenosine kinase mRNA were identified in human tissues.	"adenosine kinase	22	38	Gene_or_gene_product"	"[{""token"": ""adenosine kinase"", ""start_span"": 22, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}]"
Sequence variation between the two forms is restricted to the extreme 5 ' - end of the adenosine kinase mRNA, including a portion of the coding region, and is consistent with differential splicing of a single transcriptional product.	"adenosine kinase	87	103	Gene_or_gene_product"	"[{""token"": ""adenosine kinase"", ""start_span"": 87, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}]"
In this study, we have examined the substrate specificity and cell cycle regulation of the human Myt1 kinase.	"Myt1	97	101	Gene_or_gene_product"	"[{""token"": ""Myt1"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Gene_or_gene_product""}]"
The generation of phosphatidylinositide 3 - phosphates has been observed in a variety of cellular responses.	"phosphatidylinositide 3 - phosphates	18	54	Chemical"	"[{""token"": ""phosphatidylinositide 3 - phosphates"", ""start_span"": 18, ""end_span"": 54, ""type"": ""Chemical""}]"
Two clusters of exposed hydrophobic residues surround two adjacent calcium binding sites.	"calcium	67	74	Chemical"	"[{""token"": ""calcium"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}]"
This region, along with an adjoining strip of basic residues, appear to constitute the membrane binding motif.	"membrane	87	95	Cellular_component"	"[{""token"": ""membrane"", ""start_span"": 87, ""end_span"": 95, ""type"": ""Cellular_component""}]"
Mammalian thioredoxin is a direct inhibitor of apoptosis signal - regulating kinase ( ASK) 1.	"thioredoxin	10	21	Gene_or_gene_product"	"[{""token"": ""thioredoxin"", ""start_span"": 10, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
This disorder is characterized by convulsions induced by loud high - frequency sound and has been shown to be associated with increased nucleotide triphosphatase activity.	"nucleotide triphosphatase	136	161	Gene_or_gene_product"	"[{""token"": ""nucleotide triphosphatase"", ""start_span"": 136, ""end_span"": 161, ""type"": ""Gene_or_gene_product""}]"
The protein level of p27 was not affected.	"p27	21	24	Gene_or_gene_product"	"[{""token"": ""p27"", ""start_span"": 21, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
Whether components of the pathway mediated by the SAP kinase p38 change their cellular location on activation is not clear; we have therefore studied the cellular localisation of components of this pathway before and after stimulation.	"SAP kinase p38	50	64	Gene_or_gene_product"	"[{""token"": ""SAP kinase p38"", ""start_span"": 50, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
