The leukemia cell lines K562 and HL - 60 had no detectable TGF - beta RII mRNA.	"leukemia cell lines K562	4	28	Cell"	"HL - 60	33	40	Cell"	"[{""token"": ""leukemia cell lines K562"", ""start_span"": 4, ""end_span"": 28, ""type"": ""Cell""}, {""token"": ""HL - 60"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Cell""}]"
Cancer cells are different from normal cells in their metabolic properties.	"Cancer cells	0	12	Cell"	"cells	39	44	Cell"	"[{""token"": ""Cancer cells"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Cell""}]"
Meanwhile, knockdown of HDGF, an up - regulated protein and a target of NF - kappaB, induced cell apoptosis in the metastatic HCC cells.	"cell	93	97	Cell"	"HCC cells	126	135	Cell"	"[{""token"": ""cell"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Cell""}, {""token"": ""HCC cells"", ""start_span"": 126, ""end_span"": 135, ""type"": ""Cell""}]"
Induction of Id - 1 by FGF - 2 involves activity of EGR - 1 and sensitizes neuroblastoma cells to cell death.	"neuroblastoma cells	75	94	Cell"	"cell	98	102	Cell"	"[{""token"": ""neuroblastoma cells"", ""start_span"": 75, ""end_span"": 94, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Cell""}]"
Similarly to other members of this family, Id - 1 is involved in the repression of cell differentiation and activation of cell growth.	"cell	83	87	Cell"	"cell	122	126	Cell"	"[{""token"": ""cell"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Cell""}]"
"In addition, FGF - 2 has been described to induce "" neuronal - like "" differentiation and trigger apoptosis in neuroblastoma SK - N - MC cells."	"neuronal	52	60	Cell"	"neuroblastoma SK - N - MC cells	111	142	Cell"	"[{""token"": ""neuronal"", ""start_span"": 52, ""end_span"": 60, ""type"": ""Cell""}, {""token"": ""neuroblastoma SK - N - MC cells"", ""start_span"": 111, ""end_span"": 142, ""type"": ""Cell""}]"
Finally, inhibition of Id - 1 expression results in G ( 2) / M accumulation of FGF - 2 - treated cells and delayed cell death.	"cells	97	102	Cell"	"cell	115	119	Cell"	"[{""token"": ""cells"", ""start_span"": 97, ""end_span"": 102, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Cell""}]"
However, PC12 cells do not precisely reflect the pathogenesis of malignant cells.	"PC12 cells	9	19	Cell"	"malignant cells	65	80	Cell"	"[{""token"": ""PC12 cells"", ""start_span"": 9, ""end_span"": 19, ""type"": ""Cell""}, {""token"": ""malignant cells"", ""start_span"": 65, ""end_span"": 80, ""type"": ""Cell""}]"
To evaluate the role of VEGF - C in lymph node metastasis, we developed an animal model by using an endometrial cancer cell line, HEC1A.	"endometrial cancer cell line	100	128	Cell"	"HEC1A	130	135	Cell"	"[{""token"": ""endometrial cancer cell line"", ""start_span"": 100, ""end_span"": 128, ""type"": ""Cell""}, {""token"": ""HEC1A"", ""start_span"": 130, ""end_span"": 135, ""type"": ""Cell""}]"
This cell line is not invasive by nature and secretes moderate amounts of VEGF - C; intrauterine injection of HEC1A cells into Balb / c nude mice resulted in uterine cancer with lymph node metastasis after 8 weeks.	"cell line	5	14	Cell"	"HEC1A cells	110	121	Cell"	"[{""token"": ""cell line"", ""start_span"": 5, ""end_span"": 14, ""type"": ""Cell""}, {""token"": ""HEC1A cells"", ""start_span"": 110, ""end_span"": 121, ""type"": ""Cell""}]"
To analyze the contribution of VEGF - C to lymph node metastasis, its corresponding gene was stably introduced into HEC1A cells ( HEC1A / VEGF - C), which then produced more than 10 times the amount of VEGF - C.	"HEC1A cells	116	127	Cell"	"HEC1A	130	135	Cell"	"[{""token"": ""HEC1A cells"", ""start_span"": 116, ""end_span"": 127, ""type"": ""Cell""}, {""token"": ""HEC1A"", ""start_span"": 130, ""end_span"": 135, ""type"": ""Cell""}]"
Cells were treated with curcumin and examined for cell viability by MTT assay.	"Cells	0	5	Cell"	"cell	50	54	Cell"	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Cell""}]"
Although tumor cells can exploit cytokine signaling to promote growth, invasion, and metastasis, the response of normal and premalignant epithelial cells to cytokines present in a developing tumor microenvironment remains unclear.	"tumor cells	9	20	Cell"	"premalignant epithelial cells	124	153	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 9, ""end_span"": 20, ""type"": ""Cell""}, {""token"": ""premalignant epithelial cells"", ""start_span"": 124, ""end_span"": 153, ""type"": ""Cell""}]"
Paradoxically, OSM can also suppress the growth of normal cells and certain tumor - derived cell lines.	"cells	58	63	Cell"	"certain tumor - derived cell lines	68	102	Cell"	"[{""token"": ""cells"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Cell""}, {""token"": ""certain tumor - derived cell lines"", ""start_span"": 68, ""end_span"": 102, ""type"": ""Cell""}]"
Using isogenic human mammary epithelial cells ( HMEC) at different stages of neoplastic transformation, we found that OSM signaling suppressed c - MYC expression and engaged a p16 - and p53 - independent growth arrest that required STAT3 activity.	"mammary epithelial cells	21	45	Cell"	"HMEC	48	52	Cell"	"[{""token"": ""mammary epithelial cells"", ""start_span"": 21, ""end_span"": 45, ""type"": ""Cell""}, {""token"": ""HMEC"", ""start_span"": 48, ""end_span"": 52, ""type"": ""Cell""}]"
Mechanistically, it reduced expression of molecular markers of cell proliferation ( Ki67) and angiogenesis ( factor VIII), antiapoptotic factor Bcl - 2, cell - cycle progression regulator cyclin D1, and survival factor AKT1.	"cell	63	67	Cell"	"cell	153	157	Cell"	"[{""token"": ""cell"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 153, ""end_span"": 157, ""type"": ""Cell""}]"
The B ( 1) R appeared either as cytoplasmic dots or labeling on the apical cell membrane of the cells composing the epithelia with intestinal metaplasia ( 24 / 24; 100%) and carcinoma in situ ( 10 / 10; 100%) and in the epithelial cells of adenomas.	"cells	96	101	Cell"	"epithelial cells	220	236	Cell"	"[{""token"": ""cells"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Cell""}, {""token"": ""epithelial cells"", ""start_span"": 220, ""end_span"": 236, ""type"": ""Cell""}]"
The intensity of O2 adsorption by ascites tumor cells does not practically depend on the monovalent cation concentration gradient between the cells and the culture medium, whereas the rate of glycolysis decreases simultaneously with the diminution of the concentration gradient.	"tumor cells	42	53	Cell"	"cells	142	147	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 42, ""end_span"": 53, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 142, ""end_span"": 147, ""type"": ""Cell""}]"
On the mechanism of glycolysis stimulation by neutral detergents in 3T3 and Ehrlich ascites tumor cells.	"3T3	68	71	Cell"	"Ehrlich ascites tumor cells	76	103	Cell"	"[{""token"": ""3T3"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Cell""}, {""token"": ""Ehrlich ascites tumor cells"", ""start_span"": 76, ""end_span"": 103, ""type"": ""Cell""}]"
In extracts of growing and stationary Swiss 3T3 cells, the total amount of protein kinase C activity was similar, indicating that growth state does not alter the level of enzyme in the cell.	"Swiss 3T3 cells	38	53	Cell"	"cell	185	189	Cell"	"[{""token"": ""Swiss 3T3 cells"", ""start_span"": 38, ""end_span"": 53, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 185, ""end_span"": 189, ""type"": ""Cell""}]"
In contrast, the response of cells to long - term treatment with PDBu was significantly different depending upon the initial growth state of the cells.	"cells	29	34	Cell"	"cells	145	150	Cell"	"[{""token"": ""cells"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Cell""}]"
In down modulated growing cells, PDBu caused almost complete inhibition of EGF binding, whereas in down modulated stationary cells, minimal inhibition of EGF binding by PDBu was observed.	"cells	26	31	Cell"	"cells	125	130	Cell"	"[{""token"": ""cells"", ""start_span"": 26, ""end_span"": 31, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 125, ""end_span"": 130, ""type"": ""Cell""}]"
Suppression and re - expression of transformed phenotype in hybrids of HA - ras - 1 - transformed rat - 1 cells and early - passage rat embryonic fibroblasts.	"rat - 1 cells	98	111	Cell"	"embryonic fibroblasts	136	157	Cell"	"[{""token"": ""rat - 1 cells"", ""start_span"": 98, ""end_span"": 111, ""type"": ""Cell""}, {""token"": ""embryonic fibroblasts"", ""start_span"": 136, ""end_span"": 157, ""type"": ""Cell""}]"
Four selected cell hybrids expressed the human transforming gene product p21 at levels of 10 to 30% compared to 100% in the transformed parental cells.	"cell hybrids	14	26	Cell"	"cells	145	150	Cell"	"[{""token"": ""cell hybrids"", ""start_span"": 14, ""end_span"": 26, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Cell""}]"
Tumorigenic hybrid derivatives contained lower numbers of chromosomes than the tetraploid parental hybrids.	"hybrid derivatives	12	30	Cell"	"parental hybrids	90	106	Cell"	"[{""token"": ""hybrid derivatives"", ""start_span"": 12, ""end_span"": 30, ""type"": ""Cell""}, {""token"": ""parental hybrids"", ""start_span"": 90, ""end_span"": 106, ""type"": ""Cell""}]"
DNA of the non - tumorigenic cell hybrids transformed Rat - 1 cells to anchorage - independent proliferation as expected for the transforming human Ha - ras gene present in the donor DNA.	"cell hybrids	29	41	Cell"	"Rat - 1 cells	54	67	Cell"	"[{""token"": ""cell hybrids"", ""start_span"": 29, ""end_span"": 41, ""type"": ""Cell""}, {""token"": ""Rat - 1 cells"", ""start_span"": 54, ""end_span"": 67, ""type"": ""Cell""}]"
We conclude that the transforming properties of the activated Ha - ras gene in Rat - 1 cells can be suppressed at the post - translational level by the presence of the genome from diploid embryonic rat fibroblasts but additional controls of expression of the transforming gene are likely to exist.	"Rat - 1 cells	79	92	Cell"	"fibroblasts	202	213	Cell"	"[{""token"": ""Rat - 1 cells"", ""start_span"": 79, ""end_span"": 92, ""type"": ""Cell""}, {""token"": ""fibroblasts"", ""start_span"": 202, ""end_span"": 213, ""type"": ""Cell""}]"
Normal cells contain suppressor gene ( s) which safeguard these cells against transformation by the product of the transforming Ha - ras - 1 oncogene.	"Normal cells	0	12	Cell"	"cells	64	69	Cell"	"[{""token"": ""Normal cells"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Cell""}]"
Mast cells were found to be unique among the peritoneal leukocytes by virtue of their capacity to enhance profoundly the proliferation of a variety of tumors in vitro.	"Mast cells	0	10	Cell"	"peritoneal leukocytes	45	66	Cell"	"[{""token"": ""Mast cells"", ""start_span"": 0, ""end_span"": 10, ""type"": ""Cell""}, {""token"": ""peritoneal leukocytes"", ""start_span"": 45, ""end_span"": 66, ""type"": ""Cell""}]"
This phenomenon occurs at mast cell / tumor ratios which reflect the stoichiometry of host cell / tumor relationships in vivo.	"mast cell	26	35	Cell"	"host cell	86	95	Cell"	"[{""token"": ""mast cell"", ""start_span"": 26, ""end_span"": 35, ""type"": ""Cell""}, {""token"": ""host cell"", ""start_span"": 86, ""end_span"": 95, ""type"": ""Cell""}]"
This cellular interaction was tumor - specific, although isolated granules could enhance fibroblast proliferation.	"cellular	5	13	Cell"	"fibroblast	89	99	Cell"	"[{""token"": ""cellular"", ""start_span"": 5, ""end_span"": 13, ""type"": ""Cell""}, {""token"": ""fibroblast"", ""start_span"": 89, ""end_span"": 99, ""type"": ""Cell""}]"
The findings are discussed in relation to previous morphologic studies, reports of in vitro mast - cell - mediated tumor cytotoxicity, and the role of mast cells in angiogenesis and connective tissue proliferation.	"mast - cell	92	103	Cell"	"mast cells	151	161	Cell"	"[{""token"": ""mast - cell"", ""start_span"": 92, ""end_span"": 103, ""type"": ""Cell""}, {""token"": ""mast cells"", ""start_span"": 151, ""end_span"": 161, ""type"": ""Cell""}]"
This action is not observed with uninfected CEF, and, therefore, appears to require some expression of the viral src gene in the target cells.	"CEF	44	47	Cell"	"cells	136	141	Cell"	"[{""token"": ""CEF"", ""start_span"": 44, ""end_span"": 47, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Cell""}]"
We have examined the tyrosine phosphorylation of a major cellular protein of Mr 36, 000 in cells infected with a panel of partially transforming mutants of Rous sarcoma virus.	"cellular	57	65	Cell"	"cells	91	96	Cell"	"[{""token"": ""cellular"", ""start_span"": 57, ""end_span"": 65, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 91, ""end_span"": 96, ""type"": ""Cell""}]"
Cells infected with this mutant display a 36, 000 - dalton protein that is phosphorylated to a considerably lesser extent than cells infected with wild - type virus.	"Cells	0	5	Cell"	"cells	127	132	Cell"	"[{""token"": ""Cells"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 127, ""end_span"": 132, ""type"": ""Cell""}]"
B - cell lines established from two individuals with T - cell acute lymphocytic leukemia ( T - ALL) express HLA - DR antigens, whereas the isogenic T - cells do not.	"B - cell lines	0	14	Cell"	"T - cells	148	157	Cell"	"[{""token"": ""B - cell lines"", ""start_span"": 0, ""end_span"": 14, ""type"": ""Cell""}, {""token"": ""T - cells"", ""start_span"": 148, ""end_span"": 157, ""type"": ""Cell""}]"
The parameters considered are the number of platelets and their aggregability, prothrombin and partial thromboplastin times, plasma fibrinogen concentration and tumor cell procoagulant activity.	"platelets	44	53	Cell"	"tumor cell	161	171	Cell"	"[{""token"": ""platelets"", ""start_span"": 44, ""end_span"": 53, ""type"": ""Cell""}, {""token"": ""tumor cell"", ""start_span"": 161, ""end_span"": 171, ""type"": ""Cell""}]"
In these transformants, mitogen depletion elicited an increase in the Rb level comparable to that in normal C2 cells; wt SVLT, however, promoted the phosphorylation of a large part of the induced Rb.	"transformants	9	22	Cell"	"C2 cells	108	116	Cell"	"[{""token"": ""transformants"", ""start_span"": 9, ""end_span"": 22, ""type"": ""Cell""}, {""token"": ""C2 cells"", ""start_span"": 108, ""end_span"": 116, ""type"": ""Cell""}]"
The inhibiting mutants, including the Rb binding site mutant, were able to promote a higher state of Rb phosphorylation than that observed in either normal cells or cytoplasmic - SVLT transformants.	"cells	156	161	Cell"	"transformants	184	197	Cell"	"[{""token"": ""cells"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Cell""}, {""token"": ""transformants"", ""start_span"": 184, ""end_span"": 197, ""type"": ""Cell""}]"
Infection of human or murine cells with murine leukemia viruses rapidly increases the expression of a number of genes that belong to the immunoglobulin superfamily and are involved in T - lymphocyte activation, including the class I major histocompatibility complex antigens.	"cells	29	34	Cell"	"T - lymphocyte	184	198	Cell"	"[{""token"": ""cells"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Cell""}, {""token"": ""T - lymphocyte"", ""start_span"": 184, ""end_span"": 198, ""type"": ""Cell""}]"
Anti - transforming growth factor ( TGF) - beta antibodies inhibit breast cancer cell tumorigenicity and increase mouse spleen natural killer cell activity.	"breast cancer cell	67	85	Cell"	"spleen natural killer cell	120	146	Cell"	"[{""token"": ""breast cancer cell"", ""start_span"": 67, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""spleen natural killer cell"", ""start_span"": 120, ""end_span"": 146, ""type"": ""Cell""}]"
Implications for a possible role of tumor cell / host TGF - beta interactions in human breast cancer progression.	"tumor cell	36	46	Cell"	"host	49	53	Cell"	"[{""token"": ""tumor cell"", ""start_span"": 36, ""end_span"": 46, ""type"": ""Cell""}, {""token"": ""host"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Cell""}]"
This hypothesis was tested using the 2G7 IgG2b, which neutralizes TGF - beta 1, - beta 2, and - beta 3, and the MDA - 231 human breast cancer cell line.	"MDA - 231	112	121	Cell"	"breast cancer cell line	128	151	Cell"	"[{""token"": ""MDA - 231"", ""start_span"": 112, ""end_span"": 121, ""type"": ""Cell""}, {""token"": ""breast cancer cell line"", ""start_span"": 128, ""end_span"": 151, ""type"": ""Cell""}]"
Both the erbA IRES and the erbA / myb IRES virus constructs transformed erythroid cells after infection of bone marrow or blastoderm cultures.	"erythroid cells	72	87	Cell"	"blastoderm cultures	122	141	Cell"	"[{""token"": ""erythroid cells"", ""start_span"": 72, ""end_span"": 87, ""type"": ""Cell""}, {""token"": ""blastoderm cultures"", ""start_span"": 122, ""end_span"": 141, ""type"": ""Cell""}]"
When plated in 2% serum on dishes precoated with reconstituted basement membrane ( Matrigel), HUVECs infected with AdCMV. VEGF165 ( 20 pfu per cell) differentiated into capillary - like structures.	"HUVECs	94	100	Cell"	"cell	143	147	Cell"	"[{""token"": ""HUVECs"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 143, ""end_span"": 147, ""type"": ""Cell""}]"
Under similar conditions, both uninfected HUVECs and HUVECs infected with AdCMV. beta gal did not differentiate.	"HUVECs	42	48	Cell"	"HUVECs	53	59	Cell"	"[{""token"": ""HUVECs"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""HUVECs"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Cell""}]"
Apoptosis ( programmed cell death) regulates cell population size.	"cell	23	27	Cell"	"cell	45	49	Cell"	"[{""token"": ""cell"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Cell""}]"
To determine the mechanisms whereby hematopoietic growth factors ( HGFs) modulate apoptosis in human myeloid leukemic cells, we evaluated the roles of protein and mRNA synthesis for altering apoptosis in growth factor - stimulated vs. quiescent leukemic TF1 cells.	"myeloid leukemic cells	101	123	Cell"	"leukemic TF1 cells	245	263	Cell"	"[{""token"": ""myeloid leukemic cells"", ""start_span"": 101, ""end_span"": 123, ""type"": ""Cell""}, {""token"": ""leukemic TF1 cells"", ""start_span"": 245, ""end_span"": 263, ""type"": ""Cell""}]"
Lysates of cells from the granulocyte - macrophage colony - stimulating factor ( GM - CSF) - dependent myeloid leukemic cell line TF1 were separated into high molecular weight ( HMW) pellets of intact DNA and supernatants of fragmented low MW ( LMW) DNA, and the DNA purified from these fractions was quantified.	"cells	11	16	Cell"	"myeloid leukemic cell line TF1	103	133	Cell"	"[{""token"": ""cells"", ""start_span"": 11, ""end_span"": 16, ""type"": ""Cell""}, {""token"": ""myeloid leukemic cell line TF1"", ""start_span"": 103, ""end_span"": 133, ""type"": ""Cell""}]"
These findings indicate that disparate mechanisms of enhancing or inhibiting apoptosis exist in myeloid leukemic cells related to environmental conditions, including HGF - regulated cellular synthesis of distinct proteins and mRNA.	"myeloid leukemic cells	96	118	Cell"	"cellular	182	190	Cell"	"[{""token"": ""myeloid leukemic cells"", ""start_span"": 96, ""end_span"": 118, ""type"": ""Cell""}, {""token"": ""cellular"", ""start_span"": 182, ""end_span"": 190, ""type"": ""Cell""}]"
The neoplastic transformation of cultured rat liver epithelial cells by various means has consistently been associated with the development of resistance to the mito - inhibitory effect of transforming growth factor beta ( TGF - beta), suggesting that such phenotype plays a mechanistic role during the transformation of these cells.	"liver epithelial cells	46	68	Cell"	"cells	327	332	Cell"	"[{""token"": ""liver epithelial cells"", ""start_span"": 46, ""end_span"": 68, ""type"": ""Cell""}, {""token"": ""cells"", ""start_span"": 327, ""end_span"": 332, ""type"": ""Cell""}]"
"We have studied the induction of the "" TGF - beta - resistant "" phenotype in a clonal strain of early passage WB - F344 normal cultured rat liver epithelial cells, the proliferation of which was markedly inhibited by TGF - beta."	"WB - F344	110	119	Cell"	"liver epithelial cells	140	162	Cell"	"[{""token"": ""WB - F344"", ""start_span"": 110, ""end_span"": 119, ""type"": ""Cell""}, {""token"": ""liver epithelial cells"", ""start_span"": 140, ""end_span"": 162, ""type"": ""Cell""}]"
Two small RNAs ( 0. 9 and 0. 75 kb), named Marek ' s disease virus ( MDV) small RNAs ( MSRs) and a 10 - kb RNA, all of which map antisense to the MDV ICP4 homolog gene, have been readily detected in MDCC - MSB1 MDV - transformed T - lymphoblastoid cells.	"MDCC - MSB1	199	210	Cell"	"T - lymphoblastoid cells	229	253	Cell"	"[{""token"": ""MDCC - MSB1"", ""start_span"": 199, ""end_span"": 210, ""type"": ""Cell""}, {""token"": ""T - lymphoblastoid cells"", ""start_span"": 229, ""end_span"": 253, ""type"": ""Cell""}]"
To address this issue, an activated neu oncogene was introduced into an immortalized nontumorigenic human breast epithelial cell line ( 184B5).	"breast epithelial cell line	106	133	Cell"	"184B5	136	141	Cell"	"[{""token"": ""breast epithelial cell line"", ""start_span"": 106, ""end_span"": 133, ""type"": ""Cell""}, {""token"": ""184B5"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Cell""}]"
The main purpose of the present investigation was to study the effect of a homologous series of 1 - alkylpyrrolidine N - oxides on ATP - producing processes in Ehrlich ascites and L1210 murine leukemia cells.	"Ehrlich ascites	160	175	Cell"	"L1210 murine leukemia cells	180	207	Cell"	"[{""token"": ""Ehrlich ascites"", ""start_span"": 160, ""end_span"": 175, ""type"": ""Cell""}, {""token"": ""L1210 murine leukemia cells"", ""start_span"": 180, ""end_span"": 207, ""type"": ""Cell""}]"
9E3 / CEF4, which is released from transformed chicken embryo fibroblasts ( CEF), is a member of the platelet factor 4 family of inflammatory proteins and may be the avian homolog of interleukin - 8.	"embryo fibroblasts	55	73	Cell"	"CEF	76	79	Cell"	"[{""token"": ""embryo fibroblasts"", ""start_span"": 55, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""CEF"", ""start_span"": 76, ""end_span"": 79, ""type"": ""Cell""}]"
Since the function of 9E3 / CEF4 is unknown, we examined the effect of the protein on mitogenicity and chemotaxis, as well as its expression, in fibroblasts and peripheral blood cells.	"fibroblasts	145	156	Cell"	"peripheral blood cells	161	183	Cell"	"[{""token"": ""fibroblasts"", ""start_span"": 145, ""end_span"": 156, ""type"": ""Cell""}, {""token"": ""peripheral blood cells"", ""start_span"": 161, ""end_span"": 183, ""type"": ""Cell""}]"
Boyden double - membrane analysis of chemotaxis showed that 9E3 / CEF4 was chemotactic for chicken peripheral blood mononuclear cells, as well as for heterophils.	"peripheral blood mononuclear cells	99	133	Cell"	"heterophils	150	161	Cell"	"[{""token"": ""peripheral blood mononuclear cells"", ""start_span"": 99, ""end_span"": 133, ""type"": ""Cell""}, {""token"": ""heterophils"", ""start_span"": 150, ""end_span"": 161, ""type"": ""Cell""}]"
Untransformed CEF and CEF transformed with Rous sarcoma virus also migrated to 9E3 / CEF4 protein, as measured by Boyden single - membrane analysis.	"CEF	14	17	Cell"	"CEF	22	25	Cell"	"[{""token"": ""CEF"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Cell""}, {""token"": ""CEF"", ""start_span"": 22, ""end_span"": 25, ""type"": ""Cell""}]"
Although several hypotheses for human carcinogenesis have been proposed, the specific genetic changes that cause normal cells to become cancer cells have not been identified.	"cells	120	125	Cell"	"cancer cells	136	148	Cell"	"[{""token"": ""cells"", ""start_span"": 120, ""end_span"": 125, ""type"": ""Cell""}, {""token"": ""cancer cells"", ""start_span"": 136, ""end_span"": 148, ""type"": ""Cell""}]"
In addition to having a direct effect on tumor cells, vitamins such as alpha - tocopheryl succinate and beta - carotene enhance the effect of other agents that induce differentiation in tumor cells.	"tumor cells	41	52	Cell"	"tumor cells	186	197	Cell"	"[{""token"": ""tumor cells"", ""start_span"": 41, ""end_span"": 52, ""type"": ""Cell""}, {""token"": ""tumor cells"", ""start_span"": 186, ""end_span"": 197, ""type"": ""Cell""}]"
Lymphoma prevalence was minimal in the T lineage but significant, although low ( 3 - 15%), in the B lineage.	"T lineage	39	48	Cell"	"B lineage	98	107	Cell"	"[{""token"": ""T lineage"", ""start_span"": 39, ""end_span"": 48, ""type"": ""Cell""}, {""token"": ""B lineage"", ""start_span"": 98, ""end_span"": 107, ""type"": ""Cell""}]"
Pathological analysis indicated that generated tumors corresponded to well - differentiated fibrosarcomas with distinct and intersecting bundles and spindle cells.	"bundles	137	144	Cell"	"spindle cells	149	162	Cell"	"[{""token"": ""bundles"", ""start_span"": 137, ""end_span"": 144, ""type"": ""Cell""}, {""token"": ""spindle cells"", ""start_span"": 149, ""end_span"": 162, ""type"": ""Cell""}]"
We have identified several mechanisms by which the angiogenic cytokine vascular permeability factor / vascular endothelial growth factor ( VPF / VEGF) likely regulates endothelial cells ( EC) migration.	"endothelial cells	168	185	Cell"	"EC	188	190	Cell"	"[{""token"": ""endothelial cells"", ""start_span"": 168, ""end_span"": 185, ""type"": ""Cell""}, {""token"": ""EC"", ""start_span"": 188, ""end_span"": 190, ""type"": ""Cell""}]"
OPN promoted EC migration in vitro; and VPF / VEGF induction of alphavbeta3 was accompanied by increased EC migration toward OPN.	"EC	13	15	Cell"	"EC	105	107	Cell"	"[{""token"": ""EC"", ""start_span"": 13, ""end_span"": 15, ""type"": ""Cell""}, {""token"": ""EC"", ""start_span"": 105, ""end_span"": 107, ""type"": ""Cell""}]"
These findings also illustrate an operational link between VPF / VEGF induction of EC gene expression and VPF / VEGF enhancement of microvascular permeability, suggesting that these distinct biological activities may act accordingly to stimulate EC migration during angiogenesis.	"EC	83	85	Cell"	"EC	246	248	Cell"	"[{""token"": ""EC"", ""start_span"": 83, ""end_span"": 85, ""type"": ""Cell""}, {""token"": ""EC"", ""start_span"": 246, ""end_span"": 248, ""type"": ""Cell""}]"
E1A proteins stimulate DNA synthesis and cell proliferation; however, they also cause rapid cell death by p53 - dependent and p53 - independent apoptosis.	"cell	41	45	Cell"	"cell	92	96	Cell"	"[{""token"": ""cell"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Cell""}]"
We demonstrate directly that the wild - type 55 - kDa protein is able to block E1A - induced p53 - dependent apoptosis, whereas cells infected by mutant pm490 / 1 / 5A, which contains alanine residues at all three phosphorylation sites, exhibited extensive DNA fragmentation and classic apoptotic cell death.	"cells	128	133	Cell"	"cell	297	301	Cell"	"[{""token"": ""cells"", ""start_span"": 128, ""end_span"": 133, ""type"": ""Cell""}, {""token"": ""cell"", ""start_span"": 297, ""end_span"": 301, ""type"": ""Cell""}]"
To further elucidate the biological significance of WT1 in leukemic cell growth, we overexpressed exogenous WT1 in murine M1 myeloblastic leukemia cells using the isopropyl - beta - D - thiogalactoside ( IPTG) - controlled expression system.	"cell	68	72	Cell"	"M1 myeloblastic leukemia cells	122	152	Cell"	"[{""token"": ""cell"", ""start_span"": 68, ""end_span"": 72, ""type"": ""Cell""}, {""token"": ""M1 myeloblastic leukemia cells"", ""start_span"": 122, ""end_span"": 152, ""type"": ""Cell""}]"
There was strong correlation between percentage perforin - positive cells and zonal tumor cell death.	"cells	68	73	Cell"	"zonal tumor cell	78	94	Cell"	"[{""token"": ""cells"", ""start_span"": 68, ""end_span"": 73, ""type"": ""Cell""}, {""token"": ""zonal tumor cell"", ""start_span"": 78, ""end_span"": 94, ""type"": ""Cell""}]"
We propose that cytolytic effector and related proteins produced by putative NK and some CD8 + CD56 + postthymic T - cell lymphomas, probably in conjunction with other mechanisms, may effect massive tumor cell apoptosis.	"NK	77	79	Cell"	"tumor cell	199	209	Cell"	"[{""token"": ""NK"", ""start_span"": 77, ""end_span"": 79, ""type"": ""Cell""}, {""token"": ""tumor cell"", ""start_span"": 199, ""end_span"": 209, ""type"": ""Cell""}]"
