The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
The E3 ligase CHIP interacts with Hsp70 and Hsp90 and ubiquitinates client proteins that are chaperoned by these heat shock proteins.	"CHIP	14	18	Protein"	"[{""token"": ""CHIP"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Protein""}]"
The determinants make different relative contributions to the overall interactions between CHIP and the two E2 enzymes.	"CHIP	91	95	Protein"	"[{""token"": ""CHIP"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}]"
The S - P - A motif and other specificity determinants define the set of cognate E2 enzymes for CHIP, which likely includes several Class III E2 enzymes.	"CHIP	96	100	Protein"	"[{""token"": ""CHIP"", ""start_span"": 96, ""end_span"": 100, ""type"": ""Protein""}]"
Regulation of Nedd4 - 2 self - ubiquitination and stability by a PY motif located within its HECT - domain.	"Nedd4 - 2	14	23	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 14, ""end_span"": 23, ""type"": ""Protein""}]"
In the present paper we show that the WW domains of Nedd4 - 2 bind ( weakly) to a PY motif ( LPXY) located within its own HECT domain and inhibit auto - ubiquitination.	"Nedd4 - 2	52	61	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 52, ""end_span"": 61, ""type"": ""Protein""}]"
Pulse - chase experiments demonstrated that mutation of the HECT PY - motif decreases the stability of Nedd4 - 2, suggesting that it is involved in stabilization of this E3 ligase.	"Nedd4 - 2	103	112	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 103, ""end_span"": 112, ""type"": ""Protein""}]"
Interestingly, the HECT PY - motif mutation does not affect ubiquitination or down - regulation of a known Nedd4 - 2 substrate, ENaC ( epithelial sodium channel).	"Nedd4 - 2	107	116	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 107, ""end_span"": 116, ""type"": ""Protein""}]"
ENaC ubiquitination, in turn, appears to promote Nedd4 - 2 self - ubiquitination.	"Nedd4 - 2	49	58	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 49, ""end_span"": 58, ""type"": ""Protein""}]"
These results support a model in which the inter - or intra - molecular WW - domain - HECT PY - motif interaction stabilizes Nedd4 - 2 by preventing self - ubiquitination.	"Nedd4 - 2	125	134	Protein"	"[{""token"": ""Nedd4 - 2"", ""start_span"": 125, ""end_span"": 134, ""type"": ""Protein""}]"
These findings also point to a novel mechanism employed by a ubiquitin ligase to regulate itself differentially compared with substrate ubiquitination and stability.	"ubiquitin	61	70	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 61, ""end_span"": 70, ""type"": ""Protein""}]"
Polyubiquitination of prolactin receptor stimulates its internalization, postinternalization sorting, and degradation via the lysosomal pathway.	"prolactin receptor	22	40	Protein"	"[{""token"": ""prolactin receptor"", ""start_span"": 22, ""end_span"": 40, ""type"": ""Protein""}]"
Here we provide evidence that PRLr is internalized and primarily degraded via the lysosomal pathway.	"PRLr	30	34	Protein"	"[{""token"": ""PRLr"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}]"
We discuss how specific ubiquitination may regulate early and late stages of endocytosis of PRLr and of related receptors to contribute to the negative regulation of the magnitude and duration of downstream signaling.	"PRLr	92	96	Protein"	"[{""token"": ""PRLr"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Protein""}]"
During the intrathymic development, the fate of the thymocytes depends largely on variable expression of CD4 / CD8 markers and T cell receptor protein expressions.	"CD4	105	108	Protein"	"[{""token"": ""CD4"", ""start_span"": 105, ""end_span"": 108, ""type"": ""Protein""}]"
Chemical and structural probing of the N - terminal residues encoded by FMR1 exon 15 and their effect on downstream arginine methylation.	"FMR1	72	76	Protein"	"[{""token"": ""FMR1"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}]"
Exon 15 of the fragile X mental retardation protein gene ( FMR1) is alternatively spliced into three variants.	"FMR1	59	63	Protein"	"[{""token"": ""FMR1"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Protein""}]"
Oridonin confers protection against arsenic - induced toxicity through activation of the Nrf2 - mediated defensive response.	"Nrf2	89	93	Protein"	"[{""token"": ""Nrf2"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}]"
Recently, activation of the Nrf2 signaling pathway has been reported to confer protection against arsenic - induced toxicity in a cell culture model.	"Nrf2	28	32	Protein"	"[{""token"": ""Nrf2"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
OBJECTIVES: The goal of the present work was to identify a potent Nrf2 activator from plants as a chemopreventive compound and to demonstrate the efficacy of the compound in battling arsenic - induced toxicity.	"Nrf2	66	70	Protein"	"[{""token"": ""Nrf2"", ""start_span"": 66, ""end_span"": 70, ""type"": ""Protein""}]"
Furthermore, we demonstrated the feasibility of using natural compounds targeting Nrf2 as a therapeutic approach to protect humans from various environmental insults that may occur daily.	"Nrf2	82	86	Protein"	"[{""token"": ""Nrf2"", ""start_span"": 82, ""end_span"": 86, ""type"": ""Protein""}]"
Informatic analysis of the P. syringae genome suggests only one putative non - heme iron hydroxylase, AspH.	"AspH	102	106	Protein"	"[{""token"": ""AspH"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Protein""}]"
On heterologous expression in Escherichia coli AspH shows robust catalytic activity with free L - Asp and L - Asp thioesters to make beta - OH - Asp but yields the erythro diastereomer rather than the threo configuration that is found in syringomycin.	"AspH	47	51	Protein"	"[{""token"": ""AspH"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}]"
A critical role for CHIP in the aggresome pathway.	"CHIP	20	24	Protein"	"[{""token"": ""CHIP"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}]"
In this study, we show that CHIP has a previously unexpected critical role in the aggresome pathway.	"CHIP	28	32	Protein"	"[{""token"": ""CHIP"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Protein""}]"
This study reveals a critical role for CHIP in the aggresome pathway.	"CHIP	39	43	Protein"	"[{""token"": ""CHIP"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}]"
INTRODUCTION: The importance of alpha - 2 - glycoprotein 1, zinc ( AZGP1) in lung adenocarcinoma ( AD) remains largely unknown.	"AZGP1	67	72	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Protein""}]"
METHODS: T7 phage cDNA libraries were used to identify AZGP1 autoantibodies in the serum of 473 patients ( 192 ADs, 192 matched controls, and 89 additional ADs for confirmation of findings).	"AZGP1	55	60	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Protein""}]"
AZGP1 mRNA expression was examined in 86 ADs and 10 control lung tissue samples using oligonucleotide microarrays.	"AZGP1	0	5	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
AZGP1 protein expression was studied in 230 tissue samples ( 222 ADs; 8 controls) with immunohistochemistry.	"AZGP1	0	5	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
RESULTS: In patients with AD, AZGP1 autoantibodies were observed in 40% of serum samples.	"AZGP1	30	35	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 30, ""end_span"": 35, ""type"": ""Protein""}]"
In normal lung, AZGP1 mRNA and protein expression were low or absent, whereas in AD they were highly expressed in 31. 3% and 42. 8% of samples, respectively.	"AZGP1	16	21	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Protein""}]"
Treatment with 5 - AZA had minimal effect on AZGP1 mRNA expression.	"AZGP1	45	50	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 45, ""end_span"": 50, ""type"": ""Protein""}]"
CONCLUSIONS: The presence of AZGP1 serum autoantibody may be used as a prognostic marker in patients with AD.	"AZGP1	29	34	Protein"	"[{""token"": ""AZGP1"", ""start_span"": 29, ""end_span"": 34, ""type"": ""Protein""}]"
A phosphorylation - acetylation switch regulates STAT1 signaling.	"STAT1	49	54	Protein"	"[{""token"": ""STAT1"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Protein""}]"
Our results provide a deeper understanding of the modulation of STAT1 activity.	"STAT1	64	69	Protein"	"[{""token"": ""STAT1"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Protein""}]"
These findings reveal a new layer of physiologically relevant STAT1 regulation and suggest that a previously unidentified balance between phosphorylation and acetylation affects cytokine signaling.	"STAT1	62	67	Protein"	"[{""token"": ""STAT1"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Protein""}]"
Histone covalent modifications and 26S proteasome - mediated proteolysis modulate many regulatory events in eukaryotes.	"Histone	0	7	Protein"	"[{""token"": ""Histone"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
We here report that APE1 is also modified by ubiquitination.	"APE1	20	24	Protein"	"[{""token"": ""APE1"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Protein""}]"
Therefore, monoubiquitination not only is a prerequisite for degradation, but may also alter the APE1 activities in cells.	"APE1	97	101	Protein"	"[{""token"": ""APE1"", ""start_span"": 97, ""end_span"": 101, ""type"": ""Protein""}]"
These results reveal a novel regulation of APE1 through ubiquitination.	"APE1	43	47	Protein"	"[{""token"": ""APE1"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}]"
A histone map of human chromosome 20q13. 12.	"histone	2	9	Protein"	"[{""token"": ""histone"", ""start_span"": 2, ""end_span"": 9, ""type"": ""Protein""}]"
We have also located several CTCF binding sites that are potential insulator elements.	"CTCF	29	33	Protein"	"[{""token"": ""CTCF"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Protein""}]"
CONCLUSIONS / SIGNIFICANCE: In summary, we annotated a number of putative regulatory elements in 20q13. 12 and went on to verify experimentally a subset of them using dual luciferase reporter assays.	"luciferase	172	182	Protein"	"[{""token"": ""luciferase"", ""start_span"": 172, ""end_span"": 182, ""type"": ""Protein""}]"
Untargeted tail acetylation of histones in chromatin: lessons from yeast.	"histones	31	39	Protein"	"[{""token"": ""histones"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Protein""}]"
Dynamic acetylation of lysine residues in the amino - terminal tails of the core histones is functionally important for the regulation of diverse DNA - dependent processes in the nucleus, including replication, transcription, and DNA repair.	"histones	81	89	Protein"	"[{""token"": ""histones"", ""start_span"": 81, ""end_span"": 89, ""type"": ""Protein""}]"
The targeted and untargeted activities of histone lysine acetylases ( KATs) and deacetylases ( HDACs) both contribute to the dynamics of chromatin acetylation.	"histone	42	49	Protein"	"[{""token"": ""histone"", ""start_span"": 42, ""end_span"": 49, ""type"": ""Protein""}]"
We also found that constitutively active Akt, but not kinase - dead Akt, inhibited Ku70 degradation in the cytosol.	"Ku70	83	87	Protein"	"[{""token"": ""Ku70"", ""start_span"": 83, ""end_span"": 87, ""type"": ""Protein""}]"
Furthermore, Ku70 knockdown diminished antiapoptotic activity of Akt.	"Ku70	13	17	Protein"	"[{""token"": ""Ku70"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Protein""}]"
Host antiviral responses are significantly boosted or crippled in the presence or absence of TRIM21.	"TRIM21	93	99	Protein"	"[{""token"": ""TRIM21"", ""start_span"": 93, ""end_span"": 99, ""type"": ""Protein""}]"
Here, we identify a new phosphorylation / ubiquitination switch in the NF - kappaB network that controls the stability of the transactivating p65 subunit.	"p65	142	145	Protein"	"[{""token"": ""p65"", ""start_span"": 142, ""end_span"": 145, ""type"": ""Protein""}]"
Mammalian FOXO degradation is proteasome - mediated, although the ubiquitin E3 ligase for FOXO factors remains to be defined.	"ubiquitin	66	75	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 66, ""end_span"": 75, ""type"": ""Protein""}]"
However, similar to the other NATs, NatD is associated with ribosomes.	"NatD	36	40	Protein"	"[{""token"": ""NatD"", ""start_span"": 36, ""end_span"": 40, ""type"": ""Protein""}]"
The nat4 - Delta strain showed several minor phenotypes, including sensitivity to 3 - aminotriazole, benomyl, and thiabendazole.	"nat4	4	8	Protein"	"[{""token"": ""nat4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Protein""}]"
Thus, N - terminal serine acetylation of histone H4 may be a part of an essential charge patch first described for the histone H2A. Z variant in Tetrahymena species.	"histone H4	41	51	Protein"	"[{""token"": ""histone H4"", ""start_span"": 41, ""end_span"": 51, ""type"": ""Protein""}]"
Ah receptor represses acute - phase response gene expression without binding to its cognate response element.	"Ah receptor	0	11	Protein"	"[{""token"": ""Ah receptor"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Protein""}]"
Dietary exposure to an AHR ligand represses cytokine - induced acute - phase response in the liver.	"AHR	23	26	Protein"	"[{""token"": ""AHR"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Protein""}]"
Use of a human liver - derived cell line revealed similar repression of Saa mRNA levels and secreted protein.	"Saa	72	75	Protein"	"[{""token"": ""Saa"", ""start_span"": 72, ""end_span"": 75, ""type"": ""Protein""}]"
Ubiquitin - like protein activation by E1 enzymes: the apex for downstream signalling pathways.	"Ubiquitin	0	9	Protein"	"[{""token"": ""Ubiquitin"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}]"
Histone acetylations mark origins of polycistronic transcription in Leishmania major.	"Histone	0	7	Protein"	"[{""token"": ""Histone"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
The TBP and SNAP50 binding patterns were almost identical and high intensity peaks were associated with tRNAs and snRNAs.	"SNAP50	12	18	Protein"	"[{""token"": ""SNAP50"", ""start_span"": 12, ""end_span"": 18, ""type"": ""Protein""}]"
Only 184 peaks of acetylated H3 histone were found in the entire genome, with substantially higher intensity in rapidly - dividing cells than stationary - phase.	"H3 histone	29	39	Protein"	"[{""token"": ""H3 histone"", ""start_span"": 29, ""end_span"": 39, ""type"": ""Protein""}]"
The majority of the acetylated H3 peaks were found at divergent strand - switch regions, but some occurred at chromosome ends and within polycistronic gene clusters.	"H3	31	33	Protein"	"[{""token"": ""H3"", ""start_span"": 31, ""end_span"": 33, ""type"": ""Protein""}]"
Almost all these peaks were associated with lower intensity peaks of TBP / SNAP50 binding a few kilobases upstream, evidence that they represent transcription initiation sites.	"SNAP50	75	81	Protein"	"[{""token"": ""SNAP50"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Protein""}]"
CONCLUSION: The first genome - wide maps of DNA - binding protein occupancy in a kinetoplastid organism suggest that H3 histones at the origins of polycistronic transcription of protein - coding genes are acetylated.	"H3 histones	117	128	Protein"	"[{""token"": ""H3 histones"", ""start_span"": 117, ""end_span"": 128, ""type"": ""Protein""}]"
Secretion of human epidermal growth factor from Saccharomyces cerevisiae using synthetic leader sequences.	"epidermal growth factor	19	42	Protein"	"[{""token"": ""epidermal growth factor"", ""start_span"": 19, ""end_span"": 42, ""type"": ""Protein""}]"
We designed a consensus signal sequence which directs secretion of hEGF from yeast as efficiently as the yeast invertase signal sequence.	"hEGF	67	71	Protein"	"[{""token"": ""hEGF"", ""start_span"": 67, ""end_span"": 71, ""type"": ""Protein""}]"
However, secretion is increased over fivefold by the introduction, after the signal sequence, of a synthetic 19 - amino acid ( aa) pro - sequence containing a cleavage recognition site for the KEX2 protease.	"KEX2	193	197	Protein"	"[{""token"": ""KEX2"", ""start_span"": 193, ""end_span"": 197, ""type"": ""Protein""}]"
Even in the absence of an Asn - linked glycosylation site, secretion of hEGF using the synthetic prepro - leader was as efficient as that directed by the alpha - factor leader.	"hEGF	72	76	Protein"	"[{""token"": ""hEGF"", ""start_span"": 72, ""end_span"": 76, ""type"": ""Protein""}]"
CYLD: a tumor suppressor deubiquitinase regulating NF - kappaB activation and diverse biological processes.	"CYLD	0	4	Protein"	"[{""token"": ""CYLD"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
Protein ubiquitination is a reversible reaction, in which the ubiquitin chains are deconjugated by a family of deubiquitinases ( DUBs).	"ubiquitin	8	17	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 8, ""end_span"": 17, ""type"": ""Protein""}]"
NF - kappaB activation involves attachment of K63 - linked ubiquitin chains to its upstream signaling factors, which is thought to facilitate protein - protein interactions in the assembly of signaling complexes.	"ubiquitin	59	68	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 59, ""end_span"": 68, ""type"": ""Protein""}]"
CYLD also regulates diverse physiological processes, ranging from immune response and inflammation to cell cycle progression, spermatogenesis, and osteoclastogenesis.	"CYLD	0	4	Protein"	"[{""token"": ""CYLD"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
Interestingly, CYLD itself is subject to different mechanisms of regulation.	"CYLD	15	19	Protein"	"[{""token"": ""CYLD"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Protein""}]"
As an important metabolic regulator, SHP plays a key role in maintaining cholesterol and bile acid homeostasis by inhibiting cholesterol conversion to bile acids.	"SHP	37	40	Protein"	"[{""token"": ""SHP"", ""start_span"": 37, ""end_span"": 40, ""type"": ""Protein""}]"
SHP was ubiquitinated at Lys122 and Lys123, and mutation of these sites altered its stability and repression activity.	"SHP	0	3	Protein"	"[{""token"": ""SHP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}]"
Surprisingly, SHP stability was abnormally elevated in ob / ob mice and diet - induced obese mice.	"SHP	14	17	Protein"	"[{""token"": ""SHP"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Protein""}]"
Rapid proteasomal degradation of transcription factor IIB in accordance with F9 cell differentiation.	"transcription factor IIB	33	57	Protein"	"[{""token"": ""transcription factor IIB"", ""start_span"": 33, ""end_span"": 57, ""type"": ""Protein""}]"
Different from other GTFs, decrease of TFIIB during the differentiation was suppressed by addition of a proteasome inhibitor, MG132.	"TFIIB	39	44	Protein"	"[{""token"": ""TFIIB"", ""start_span"": 39, ""end_span"": 44, ""type"": ""Protein""}]"
The half - life of TFIIB in the differentiated cells was remarkably reduced compared with that in the undifferentiated cells.	"TFIIB	19	24	Protein"	"[{""token"": ""TFIIB"", ""start_span"": 19, ""end_span"": 24, ""type"": ""Protein""}]"
Moreover, it was demonstrated that TFIIB is a poly - ubiquitinated protein.	"TFIIB	35	40	Protein"	"[{""token"": ""TFIIB"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Protein""}]"
We found that AA exposure results in a concentration - dependent increase in FANCD2 monoubiquitination, which is dependent upon the FANC core complex.	"FANCD2	77	83	Protein"	"[{""token"": ""FANCD2"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Protein""}]"
However, AA did not detectably increase the levels of hyperphosphorylated RPA34, a marker of single - stranded DNA exposure at replication forks.	"RPA34	74	79	Protein"	"[{""token"": ""RPA34"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Protein""}]"
Atg5 - independent sequestration of ubiquitinated mycobacteria.	"Atg5	0	4	Protein"	"[{""token"": ""Atg5"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
At 24 hours post - infection, Mm that polymerized actin were not ubiquitinated, whereas ubiquitinated Mm were found within LAMP - 1 - positive vacuoles resembling lysosomes.	"LAMP - 1	123	131	Protein"	"[{""token"": ""LAMP - 1"", ""start_span"": 123, ""end_span"": 131, ""type"": ""Protein""}]"
Runx1 is a key factor in the generation and maintenance of hematopoietic stem cells.	"Runx1	0	5	Protein"	"[{""token"": ""Runx1"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
Improper expression and mutations in Runx1 are frequently implicated in human leukemia.	"Runx1	37	42	Protein"	"[{""token"": ""Runx1"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Protein""}]"
RIG - I - like receptors: sensing and responding to RNA virus infection.	"RIG - I	0	7	Protein"	"[{""token"": ""RIG - I"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Protein""}]"
Both are DExDH / box RNA helicases, and RIG - I specifically recognizes 5 ' - triphosphate containing viral RNA and transmits signals that induce type I interferon - mediated host immunity against virus infection.	"RIG - I	40	47	Protein"	"[{""token"": ""RIG - I"", ""start_span"": 40, ""end_span"": 47, ""type"": ""Protein""}]"
In this review, we will focus on RIG - I - like receptor ( RLR) signal transduction and the regulatory mechanisms - ubiquitination, deubiquitination, ISGylation - underlying this important host response.	"RIG - I	33	40	Protein"	"[{""token"": ""RIG - I"", ""start_span"": 33, ""end_span"": 40, ""type"": ""Protein""}]"
Our findings indicate the importance of arginine methylation for the subnuclear localization of SFRS9.	"SFRS9	96	101	Protein"	"[{""token"": ""SFRS9"", ""start_span"": 96, ""end_span"": 101, ""type"": ""Protein""}]"
Subject prostate specific antigen was 2. 0 to 10. 0 ng / ml.	"prostate specific antigen	8	33	Protein"	"[{""token"": ""prostate specific antigen"", ""start_span"": 8, ""end_span"": 33, ""type"": ""Protein""}]"
These values were higher than those of prostate specific antigen alone using 4. 0 ng / ml as the cutoff ( p = 0. 00 and 0. 01, respectively).	"prostate specific antigen	39	64	Protein"	"[{""token"": ""prostate specific antigen"", ""start_span"": 39, ""end_span"": 64, ""type"": ""Protein""}]"
E3 ubiquitin ligases, which target specific molecules for proteolytic destruction, have emerged as key regulators of immune functions.	"ubiquitin	3	12	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 3, ""end_span"": 12, ""type"": ""Protein""}]"
Here, we report that the HECT - type E3 ligase AIP2 positively regulates T - cell activation.	"AIP2	47	51	Protein"	"[{""token"": ""AIP2"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Protein""}]"
We identified the cell cycle - regulated SBF protein complex required for H3K79 dimethylation.	"H3K79	74	79	Protein"	"[{""token"": ""H3K79"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Protein""}]"
Absence of ubiquitinated inclusions in hypocretin neurons of patients with narcolepsy.	"hypocretin	39	49	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 39, ""end_span"": 49, ""type"": ""Protein""}]"
OBJECTIVES: The cause of hypocretin cell loss in human narcolepsy - cataplexy is unknown but has been suggested to be neurodegenerative in nature.	"hypocretin	25	35	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 25, ""end_span"": 35, ""type"": ""Protein""}]"
To test this hypothesis, we evaluated the remaining hypocretin cells in human narcolepsy brains for the presence of aggregated protein inclusions, gliosis, and inflammation.	"hypocretin	52	62	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 52, ""end_span"": 62, ""type"": ""Protein""}]"
RESULTS: Hypocretin cells were markedly decreased in all 4 subjects with narcolepsy.	"Hypocretin	9	19	Protein"	"[{""token"": ""Hypocretin"", ""start_span"": 9, ""end_span"": 19, ""type"": ""Protein""}]"
Ubiquitinated inclusions were not observed in the total of 96 remaining hypocretin cells in these subjects.	"hypocretin	72	82	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 72, ""end_span"": 82, ""type"": ""Protein""}]"
Further, we noted that even in patients with dementia neuropathology, the lateral hypothalamic hypocretin area was spared from ubiquitinated inclusions.	"hypocretin	95	105	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 95, ""end_span"": 105, ""type"": ""Protein""}]"
CONCLUSIONS: Our findings suggest that hypocretin cell loss does not involve ubiquitinated inclusions, the hallmark of most neurodegenerative diseases.	"hypocretin	39	49	Protein"	"[{""token"": ""hypocretin"", ""start_span"": 39, ""end_span"": 49, ""type"": ""Protein""}]"
Structural basis for the lack of E2 interaction in the RING domain of TRAF2.	"TRAF2	70	75	Protein"	"[{""token"": ""TRAF2"", ""start_span"": 70, ""end_span"": 75, ""type"": ""Protein""}]"
Specifically, TRAF2 interacts with members of the TNF receptor superfamily and connects the receptors to downstream signaling proteins.	"TRAF2	14	19	Protein"	"[{""token"": ""TRAF2"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Protein""}]"
Here we report the crystal structure of the RING and the first zinc finger domains of TRAF2.	"TRAF2	86	91	Protein"	"[{""token"": ""TRAF2"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Protein""}]"
The retinoblastoma gene was highly methylated in all tissues examined, with the exception of a single site that was under - methylated in sperm only.	"retinoblastoma	4	18	Protein"	"[{""token"": ""retinoblastoma"", ""start_span"": 4, ""end_span"": 18, ""type"": ""Protein""}]"
The therapeutic drug, cisplatin decreases MdmX protein expression.	"MdmX	42	46	Protein"	"[{""token"": ""MdmX"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Protein""}]"
USP2a mRNA and protein levels were also reduced after cisplatin exposure.	"USP2a	0	5	Protein"	"[{""token"": ""USP2a"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
Normalization of collagen helical modification in transfected CRTAP - null cells demonstrated that the restored proteins functioned effectively as a complex.	"CRTAP	62	67	Protein"	"[{""token"": ""CRTAP"", ""start_span"": 62, ""end_span"": 67, ""type"": ""Protein""}]"
GDP - mannose pyrophosphorylase is essential in the bloodstream form of Trypanosoma brucei.	"GDP - mannose pyrophosphorylase	0	31	Protein"	"[{""token"": ""GDP - mannose pyrophosphorylase"", ""start_span"": 0, ""end_span"": 31, ""type"": ""Protein""}]"
The ubiquitin - proteasome system of protein degradation is one of the critical mechanisms that underlie this process, playing crucial roles in the regulation of synaptic structure and function.	"ubiquitin	4	13	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 4, ""end_span"": 13, ""type"": ""Protein""}]"
Fbxo45 is evolutionarily conserved and selectively expressed in the nervous system.	"Fbxo45	0	6	Protein"	"[{""token"": ""Fbxo45"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}]"
We demonstrated that the knockdown of Fbxo45 in primary cultured hippocampal neurons resulted in a greater frequency of miniature excitatory postsynaptic currents.	"Fbxo45	38	44	Protein"	"[{""token"": ""Fbxo45"", ""start_span"": 38, ""end_span"": 44, ""type"": ""Protein""}]"
Genes regulated by Mitf have been previously identified.	"Mitf	19	23	Protein"	"[{""token"": ""Mitf"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}]"
However, proteins that interact and regulate Mitf ' s activity in osteoclasts are not well known.	"Mitf	45	49	Protein"	"[{""token"": ""Mitf"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}]"
Recently, mutations in CUL4B were identified in humans associated with mental retardation, relative macrocephaly, tremor and a peripheral neuropathy.	"CUL4B	23	28	Protein"	"[{""token"": ""CUL4B"", ""start_span"": 23, ""end_span"": 28, ""type"": ""Protein""}]"
Cells from these patients offer a unique system to help define at the molecular level the consequences of defective CUL4B specifically.	"CUL4B	116	121	Protein"	"[{""token"": ""CUL4B"", ""start_span"": 116, ""end_span"": 121, ""type"": ""Protein""}]"
Normal shear stress and vascular smooth muscle cells modulate migration of endothelial cells through histone deacetylase 6 activation and tubulin acetylation.	"histone deacetylase 6	101	122	Protein"	"[{""token"": ""histone deacetylase 6"", ""start_span"": 101, ""end_span"": 122, ""type"": ""Protein""}]"
The process of EC migration regulated by VSMCs and NSS was associated with the increased expression of HDAC6 and low level of acetylated tubulin.	"HDAC6	103	108	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Protein""}]"
The increase in HDAC6 expression was accompanied by a time - dependent decrease in the acetylation of tubulin in ECs co - cultured with VSMCs.	"HDAC6	16	21	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 16, ""end_span"": 21, ""type"": ""Protein""}]"
Inhibition of the HDAC6 by siRNA or tributyrin, an inhibitor of HDACs, induced a parallel alteration in the migration and the acetylated tubulin of ECs co - cultured with VSMCs.	"HDAC6	18	23	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 18, ""end_span"": 23, ""type"": ""Protein""}]"
This modulation process involves the down - regulation of acetylated tubulin which results from increased HDAC6 activity in ECs.	"HDAC6	106	111	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 106, ""end_span"": 111, ""type"": ""Protein""}]"
